Thumb,Index,Middle,Ring,Pinky
0.428,0.121,0.202,0.297,0.171
0.447,0.135,0.255,0.322,0.193
0.446,0.127,0.253,0.316,0.194
0.452,0.138,0.247,0.324,0.184
0.454,0.127,0.243,0.322,0.172
0.433,0.131,0.260,0.325,0.187
0.446,0.146,0.268,0.339,0.197
0.451,0.129,0.247,0.323,0.189
0.429,0.136,0.259,0.334,0.201
0.453,0.133,0.254,0.328,0.188
0.430,0.142,0.255,0.336,0.190
0.427,0.142,0.228,0.323,0.204
0.438,0.133,0.245,0.314,0.198
0.445,0.131,0.259,0.318,0.207
0.447,0.123,0.258,0.331,0.193
0.446,0.136,0.243,0.346,0.201
0.450,0.139,0.232,0.359,0.219
0.404,0.120,0.247,0.359,0.210
0.412,0.142,0.270,0.353,0.228
0.431,0.140,0.284,0.350,0.219
0.450,0.139,0.270,0.361,0.212
0.422,0.141,0.280,0.362,0.222
0.407,0.122,0.292,0.367,0.226
0.400,0.130,0.284,0.331,0.225
0.377,0.123,0.270,0.353,0.206
0.422,0.142,0.296,0.323,0.219
0.412,0.125,0.284,0.363,0.219
0.430,0.127,0.297,0.359,0.219
0.427,0.112,0.284,0.369,0.224
0.425,0.103,0.271,0.355,0.202
0.400,0.107,0.258,0.333,0.199
0.434,0.114,0.250,0.322,0.208
0.423,0.123,0.289,0.366,0.246
0.446,0.068,0.172,0.246,0.186
0.444,0.110,0.265,0.348,0.219
0.456,0.114,0.271,0.363,0.219
0.451,0.116,0.276,0.350,0.214
0.451,0.098,0.279,0.348,0.217
0.441,0.103,0.253,0.355,0.226
0.447,0.134,0.274,0.348,0.238
0.421,0.116,0.264,0.325,0.231
0.435,0.096,0.266,0.328,0.219
0.427,0.090,0.276,0.333,0.214
0.472,0.093,0.225,0.306,0.193
0.452,0.123,0.271,0.334,0.223
0.423,0.124,0.273,0.330,0.225
0.430,0.116,0.270,0.322,0.193
0.424,0.119,0.271,0.322,0.211
0.440,0.112,0.243,0.333,0.205
0.434,0.102,0.243,0.310,0.184
0.441,0.105,0.244,0.305,0.190
0.388,0.098,0.230,0.311,0.205
0.426,0.117,0.235,0.321,0.192
0.362,0.093,0.227,0.292,0.199
0.403,0.118,0.266,0.318,0.182
0.457,0.114,0.245,0.326,0.193
0.442,0.128,0.235,0.301,0.168
0.442,0.131,0.247,0.313,0.168
