Letter,Thumb,Index,Middle,Ring,Pinky
B,0.131,0.387,0.569,0.462,0.373
B,0.142,0.359,0.538,0.442,0.375
B,0.121,0.352,0.554,0.446,0.373
B,0.135,0.359,0.550,0.450,0.372
B,0.135,0.367,0.552,0.445,0.355
B,0.146,0.352,0.464,0.449,0.365
B,0.176,0.365,0.554,0.449,0.361
B,0.129,0.352,0.554,0.450,0.365
B,0.120,0.337,0.472,0.454,0.361
B,0.117,0.343,0.480,0.459,0.363
B,0.134,0.360,0.525,0.455,0.369
B,0.147,0.366,0.529,0.455,0.364
B,0.141,0.363,0.528,0.454,0.356
B,0.149,0.362,0.539,0.450,0.366
B,0.146,0.365,0.525,0.450,0.368
B,0.147,0.360,0.530,0.447,0.364
B,0.144,0.344,0.530,0.452,0.363
B,0.137,0.334,0.526,0.452,0.354
B,0.162,0.361,0.521,0.446,0.362
B,0.183,0.330,0.526,0.457,0.368
B,0.093,0.247,0.488,0.448,0.354
B,0.168,0.363,0.529,0.446,0.374
B,0.191,0.378,0.530,0.451,0.366
B,0.193,0.403,0.549,0.464,0.381
B,0.189,0.388,0.553,0.459,0.375
B,0.218,0.401,0.527,0.456,0.374
B,0.212,0.405,0.533,0.454,0.373
B,0.218,0.394,0.525,0.459,0.359
B,0.188,0.396,0.542,0.461,0.370
B,0.189,0.384,0.534,0.455,0.378
B,0.192,0.384,0.505,0.449,0.375
B,0.175,0.359,0.516,0.452,0.361
B,0.166,0.370,0.521,0.456,0.367
B,0.206,0.376,0.529,0.455,0.368
B,0.206,0.378,0.534,0.460,0.372
B,0.219,0.376,0.518,0.450,0.400
B,0.198,0.370,0.514,0.451,0.374
B,0.165,0.348,0.513,0.454,0.375
B,0.113,0.334,0.464,0.460,0.376
B,0.112,0.275,0.454,0.468,0.367
B,0.142,0.350,0.481,0.459,0.373
B,0.162,0.335,0.504,0.457,0.374
B,0.173,0.376,0.525,0.453,0.382
B,0.193,0.373,0.516,0.453,0.377
B,0.167,0.374,0.529,0.454,0.376
B,0.156,0.346,0.507,0.459,0.384
B,0.168,0.345,0.503,0.447,0.374
B,0.185,0.374,0.488,0.440,0.372
B,0.180,0.364,0.508,0.453,0.373
B,0.147,0.343,0.496,0.450,0.373
B,0.156,0.355,0.497,0.451,0.372
B,0.130,0.301,0.427,0.451,0.372
B,0.233,0.372,0.497,0.440,0.372
B,0.216,0.372,0.508,0.454,0.379
B,0.192,0.367,0.521,0.465,0.369
B,0.187,0.357,0.500,0.448,0.374
B,0.172,0.357,0.533,0.470,0.381
B,0.184,0.348,0.500,0.450,0.376
