Thumb,Index,Middle,Ring,Pinky
0.469,0.199,0.309,0.388,0.330
0.382,0.219,0.297,0.374,0.337
0.323,0.168,0.268,0.326,0.283
0.326,0.168,0.226,0.304,0.299
0.314,0.182,0.180,0.346,0.320
0.389,0.194,0.283,0.323,0.317
0.441,0.218,0.295,0.334,0.342
0.400,0.206,0.202,0.351,0.313
0.454,0.231,0.230,0.396,0.348
0.400,0.254,0.323,0.405,0.361
0.397,0.180,0.341,0.388,0.342
0.363,0.181,0.215,0.349,0.330
0.389,0.219,0.333,0.374,0.333
0.399,0.193,0.363,0.397,0.349
0.425,0.233,0.370,0.388,0.327
0.361,0.214,0.348,0.372,0.321
0.397,0.236,0.360,0.372,0.313
0.354,0.243,0.349,0.373,0.323
0.371,0.206,0.321,0.380,0.322
0.395,0.218,0.356,0.379,0.347
0.437,0.295,0.407,0.451,0.372
0.439,0.260,0.374,0.412,0.354
0.440,0.239,0.320,0.388,0.347
0.424,0.259,0.366,0.438,0.356
0.449,0.249,0.396,0.439,0.353
0.430,0.253,0.361,0.400,0.345
0.423,0.241,0.395,0.401,0.349
0.438,0.259,0.374,0.412,0.351
0.404,0.334,0.463,0.475,0.362
0.431,0.226,0.322,0.397,0.349
0.410,0.310,0.452,0.472,0.362
0.464,0.258,0.361,0.460,0.362
0.448,0.256,0.464,0.430,0.373
0.451,0.191,0.309,0.348,0.319
0.436,0.226,0.359,0.440,0.351
0.412,0.255,0.359,0.451,0.348
0.361,0.200,0.350,0.401,0.348
0.400,0.225,0.349,0.401,0.344
0.412,0.245,0.380,0.410,0.348
0.400,0.229,0.350,0.410,0.341
0.391,0.232,0.327,0.391,0.328
0.412,0.227,0.332,0.374,0.337
0.400,0.170,0.298,0.375,0.325
0.389,0.219,0.351,0.396,0.335
0.412,0.197,0.315,0.362,0.313
0.379,0.228,0.365,0.402,0.335
0.393,0.198,0.320,0.371,0.322
0.398,0.219,0.348,0.399,0.347
0.421,0.216,0.383,0.425,0.343
0.411,0.252,0.399,0.438,0.350
0.402,0.268,0.403,0.446,0.349
0.425,0.259,0.405,0.459,0.345
0.425,0.233,0.386,0.412,0.339
0.440,0.245,0.400,0.411,0.347
0.430,0.201,0.383,0.391,0.357
0.351,0.219,0.337,0.383,0.347
0.374,0.185,0.305,0.336,0.318
0.380,0.169,0.307,0.336,0.309
0.341,0.185,0.311,0.367,0.336
0.337,0.193,0.312,0.374,0.322
0.397,0.197,0.297,0.312,0.293
0.379,0.184,0.337,0.380,0.354
0.422,0.217,0.360,0.375,0.340
0.375,0.185,0.298,0.370,0.344
