Thumb,Index,Middle,Ring,Pinky
0.190,0.409,0.249,0.276,0.174
0.334,0.446,0.284,0.272,0.245
0.362,0.442,0.362,0.341,0.305
0.374,0.434,0.379,0.364,0.318
0.396,0.429,0.376,0.374,0.302
0.222,0.449,0.230,0.305,0.275
0.253,0.401,0.281,0.326,0.302
0.286,0.350,0.304,0.326,0.309
0.280,0.394,0.296,0.322,0.306
0.176,0.386,0.249,0.295,0.293
0.181,0.376,0.245,0.307,0.297
0.180,0.310,0.239,0.288,0.283
0.171,0.407,0.243,0.278,0.280
0.153,0.356,0.237,0.288,0.288
0.186,0.388,0.247,0.289,0.286
0.222,0.405,0.239,0.311,0.297
0.210,0.400,0.271,0.315,0.312
0.204,0.401,0.241,0.297,0.308
0.207,0.359,0.246,0.303,0.285
0.228,0.378,0.271,0.317,0.295
0.193,0.370,0.252,0.294,0.290
0.227,0.409,0.259,0.334,0.315
0.241,0.404,0.264,0.317,0.314
0.330,0.454,0.271,0.362,0.334
0.206,0.395,0.235,0.313,0.302
0.160,0.405,0.172,0.228,0.192
0.139,0.374,0.207,0.262,0.206
0.159,0.375,0.211,0.261,0.259
0.219,0.430,0.285,0.322,0.291
0.197,0.428,0.238,0.309,0.295
0.195,0.397,0.217,0.297,0.271
0.155,0.397,0.245,0.296,0.264
0.291,0.455,0.267,0.366,0.302
0.189,0.431,0.263,0.311,0.295
0.188,0.403,0.226,0.311,0.268
0.153,0.425,0.235,0.297,0.271
0.193,0.425,0.231,0.301,0.282
0.206,0.412,0.247,0.310,0.292
0.201,0.402,0.261,0.323,0.289
0.192,0.410,0.240,0.323,0.284
0.142,0.395,0.218,0.284,0.251
0.156,0.388,0.218,0.296,0.263
0.122,0.324,0.231,0.288,0.254
0.243,0.459,0.267,0.352,0.299
0.214,0.407,0.253,0.341,0.297
0.262,0.464,0.259,0.359,0.309
0.207,0.451,0.256,0.321,0.297
0.268,0.453,0.310,0.374,0.315
0.210,0.391,0.245,0.341,0.297
0.143,0.381,0.219,0.281,0.178
0.167,0.412,0.247,0.297,0.218
0.164,0.405,0.249,0.276,0.235
0.181,0.439,0.260,0.342,0.247
0.103,0.392,0.210,0.255,0.177
0.285,0.477,0.241,0.328,0.309
0.244,0.475,0.264,0.318,0.317
0.191,0.438,0.209,0.299,0.268
0.212,0.449,0.245,0.322,0.316
0.269,0.463,0.318,0.391,0.334
0.219,0.464,0.247,0.359,0.314
0.228,0.451,0.236,0.323,0.309
0.201,0.467,0.263,0.312,0.299
0.166,0.348,0.210,0.301,0.280
