Letter,Thumb,Index,Middle,Ring,Pinky
E,0.102,0.091,0.142,0.214,0.172
E,0.085,0.068,0.126,0.185,0.136
E,0.135,0.046,0.157,0.232,0.160
E,0.096,0.052,0.140,0.197,0.168
E,0.230,0.065,0.162,0.265,0.160
E,0.109,0.114,0.143,0.214,0.176
E,0.112,0.090,0.151,0.208,0.095
E,0.190,0.068,0.174,0.296,0.117
E,0.219,0.050,0.176,0.263,0.143
E,0.103,0.082,0.160,0.196,0.101
E,0.116,0.067,0.168,0.263,0.142
E,0.164,0.060,0.156,0.264,0.118
E,0.101,0.105,0.168,0.228,0.158
E,0.113,0.077,0.168,0.283,0.159
E,0.168,0.093,0.145,0.247,0.130
E,0.167,0.099,0.181,0.263,0.155
E,0.121,0.079,0.168,0.264,0.168
E,0.150,0.079,0.165,0.266,0.169
E,0.131,0.066,0.165,0.271,0.179
E,0.120,0.067,0.183,0.267,0.167
E,0.131,0.052,0.162,0.254,0.185
E,0.131,0.063,0.160,0.256,0.176
E,0.163,0.077,0.186,0.270,0.178
E,0.176,0.081,0.150,0.247,0.167
E,0.173,0.096,0.144,0.232,0.091
E,0.170,0.084,0.170,0.258,0.168
E,0.190,0.086,0.167,0.259,0.199
E,0.252,0.087,0.156,0.259,0.142
E,0.146,0.070,0.172,0.262,0.185
E,0.172,0.094,0.154,0.245,0.138
E,0.157,0.085,0.165,0.256,0.186
E,0.222,0.078,0.146,0.239,0.131
E,0.139,0.078,0.147,0.267,0.181
E,0.164,0.116,0.166,0.168,0.185
E,0.157,0.114,0.159,0.252,0.174
E,0.192,0.116,0.162,0.243,0.178
E,0.142,0.090,0.168,0.245,0.176
E,0.210,0.095,0.165,0.245,0.127
E,0.181,0.112,0.176,0.250,0.189
E,0.239,0.115,0.181,0.217,0.090
E,0.204,0.089,0.170,0.198,0.181
E,0.172,0.073,0.147,0.206,0.114
E,0.119,0.089,0.154,0.273,0.212
E,0.133,0.082,0.136,0.220,0.151
E,0.122,0.091,0.147,0.236,0.167
E,0.178,0.143,0.173,0.255,0.112
E,0.158,0.108,0.156,0.265,0.180
E,0.243,0.090,0.165,0.222,0.086
E,0.193,0.094,0.168,0.284,0.163
E,0.258,0.091,0.168,0.263,0.117
E,0.132,0.083,0.158,0.259,0.082
E,0.155,0.078,0.168,0.246,0.164
E,0.166,0.081,0.160,0.262,0.160
E,0.197,0.053,0.168,0.243,0.100
E,0.249,0.086,0.168,0.213,0.155
E,0.197,0.099,0.162,0.256,0.165
E,0.219,0.094,0.149,0.227,0.079
