Letter,Thumb,Index,Middle,Ring,Pinky
F,0.222,0.182,0.572,0.494,0.336
F,0.297,0.214,0.572,0.496,0.354
F,0.294,0.204,0.535,0.452,0.399
F,0.296,0.219,0.529,0.456,0.381
F,0.322,0.185,0.500,0.466,0.378
F,0.295,0.219,0.542,0.456,0.395
F,0.274,0.218,0.529,0.450,0.388
F,0.301,0.224,0.537,0.459,0.392
F,0.314,0.209,0.534,0.457,0.391
F,0.218,0.163,0.503,0.462,0.389
F,0.203,0.170,0.515,0.464,0.374
F,0.301,0.178,0.528,0.468,0.396
F,0.269,0.172,0.543,0.467,0.401
F,0.243,0.184,0.534,0.470,0.400
F,0.193,0.160,0.554,0.469,0.401
F,0.190,0.116,0.479,0.469,0.385
F,0.245,0.196,0.533,0.465,0.377
F,0.232,0.143,0.544,0.468,0.388
F,0.193,0.151,0.524,0.468,0.378
F,0.249,0.188,0.544,0.467,0.388
F,0.261,0.210,0.550,0.455,0.389
F,0.242,0.186,0.547,0.457,0.395
F,0.187,0.173,0.508,0.464,0.392
F,0.236,0.193,0.495,0.466,0.389
F,0.175,0.131,0.486,0.465,0.363
F,0.307,0.264,0.500,0.466,0.385
F,0.301,0.224,0.531,0.468,0.375
F,0.285,0.222,0.425,0.459,0.382
F,0.276,0.217,0.489,0.464,0.388
F,0.272,0.230,0.529,0.464,0.380
F,0.273,0.235,0.468,0.453,0.387
F,0.374,0.249,0.564,0.498,0.396
F,0.182,0.185,0.579,0.475,0.396
F,0.207,0.181,0.545,0.464,0.398
F,0.173,0.182,0.558,0.467,0.392
F,0.166,0.175,0.553,0.466,0.400
F,0.197,0.194,0.546,0.464,0.398
F,0.209,0.201,0.512,0.463,0.399
F,0.193,0.189,0.517,0.463,0.397
F,0.176,0.179,0.510,0.463,0.396
F,0.219,0.209,0.541,0.460,0.401
F,0.208,0.217,0.478,0.460,0.394
F,0.146,0.153,0.425,0.457,0.380
F,0.156,0.181,0.463,0.455,0.376
F,0.133,0.176,0.496,0.454,0.379
F,0.085,0.135,0.496,0.451,0.374
F,0.117,0.168,0.512,0.451,0.367
F,0.139,0.175,0.499,0.455,0.367
F,0.132,0.159,0.503,0.451,0.372
F,0.139,0.173,0.472,0.454,0.379
F,0.160,0.151,0.521,0.464,0.391
F,0.160,0.151,0.521,0.464,0.391
F,0.069,0.151,0.604,0.475,0.374
F,0.116,0.170,0.580,0.464,0.387
F,0.116,0.156,0.555,0.451,0.361
F,0.172,0.199,0.576,0.462,0.396
F,0.191,0.230,0.573,0.459,0.397
F,0.159,0.193,0.606,0.463,0.398
