Letter,Thumb,Index,Middle,Ring,Pinky
G,0.427,0.388,0.172,0.215,0.189
G,0.434,0.357,0.168,0.219,0.202
G,0.472,0.334,0.172,0.209,0.194
G,0.500,0.322,0.167,0.189,0.176
G,0.451,0.351,0.170,0.206,0.202
G,0.446,0.374,0.181,0.223,0.217
G,0.494,0.383,0.170,0.220,0.206
G,0.481,0.374,0.181,0.210,0.194
G,0.477,0.431,0.179,0.210,0.196
G,0.495,0.424,0.179,0.223,0.206
G,0.489,0.355,0.169,0.212,0.206
G,0.455,0.428,0.168,0.208,0.196
G,0.474,0.400,0.162,0.196,0.201
G,0.475,0.438,0.179,0.201,0.196
G,0.477,0.401,0.189,0.193,0.205
G,0.459,0.372,0.235,0.258,0.202
G,0.479,0.425,0.276,0.246,0.207
G,0.476,0.447,0.157,0.193,0.169
G,0.477,0.412,0.172,0.197,0.195
G,0.488,0.400,0.170,0.197,0.199
G,0.488,0.412,0.157,0.193,0.196
G,0.462,0.360,0.156,0.198,0.193
G,0.438,0.438,0.167,0.193,0.185
G,0.498,0.388,0.146,0.164,0.181
G,0.501,0.355,0.155,0.185,0.152
G,0.449,0.425,0.181,0.211,0.205
G,0.477,0.421,0.151,0.189,0.193
G,0.503,0.430,0.157,0.189,0.193
G,0.502,0.457,0.146,0.191,0.201
G,0.496,0.395,0.168,0.234,0.194
G,0.499,0.405,0.159,0.201,0.194
G,0.491,0.457,0.168,0.219,0.217
G,0.486,0.434,0.168,0.206,0.205
G,0.496,0.401,0.167,0.211,0.201
G,0.492,0.408,0.146,0.193,0.197
G,0.487,0.344,0.160,0.193,0.205
G,0.492,0.369,0.154,0.201,0.204
G,0.495,0.396,0.153,0.210,0.209
G,0.483,0.427,0.160,0.204,0.205
G,0.505,0.442,0.168,0.215,0.204
G,0.497,0.446,0.168,0.206,0.219
G,0.496,0.411,0.168,0.197,0.219
G,0.481,0.403,0.164,0.189,0.202
G,0.485,0.430,0.146,0.182,0.170
G,0.495,0.402,0.158,0.187,0.205
G,0.481,0.412,0.155,0.209,0.185
G,0.503,0.442,0.158,0.218,0.203
G,0.484,0.456,0.143,0.189,0.216
G,0.511,0.412,0.155,0.138,0.206
G,0.497,0.437,0.147,0.215,0.205
G,0.401,0.454,0.151,0.224,0.209
G,0.457,0.464,0.142,0.201,0.175
G,0.462,0.439,0.156,0.195,0.180
G,0.468,0.374,0.156,0.214,0.193
G,0.450,0.378,0.155,0.199,0.169
G,0.464,0.428,0.143,0.233,0.186
G,0.464,0.423,0.155,0.211,0.168
G,0.453,0.387,0.171,0.209,0.175
G,0.387,0.451,0.191,0.236,0.211
