Letter,Thumb,Index,Middle,Ring,Pinky
H,0.113,0.446,0.617,0.295,0.201
H,0.114,0.454,0.623,0.341,0.190
H,0.235,0.469,0.626,0.324,0.279
H,0.259,0.451,0.631,0.300,0.219
H,0.150,0.412,0.595,0.327,0.210
H,0.201,0.354,0.546,0.322,0.222
H,0.153,0.390,0.567,0.308,0.177
H,0.150,0.363,0.587,0.270,0.176
H,0.147,0.463,0.567,0.282,0.204
H,0.311,0.409,0.581,0.280,0.222
H,0.280,0.348,0.496,0.295,0.169
H,0.138,0.425,0.550,0.308,0.217
H,0.131,0.455,0.597,0.320,0.210
H,0.105,0.460,0.604,0.297,0.162
H,0.156,0.412,0.545,0.288,0.181
H,0.153,0.425,0.552,0.301,0.211
H,0.239,0.459,0.575,0.305,0.235
H,0.189,0.409,0.584,0.325,0.202
H,0.285,0.439,0.589,0.284,0.207
H,0.139,0.442,0.602,0.239,0.155
H,0.218,0.446,0.596,0.258,0.162
H,0.183,0.474,0.596,0.234,0.153
H,0.245,0.443,0.581,0.268,0.185
H,0.302,0.378,0.567,0.208,0.223
H,0.184,0.322,0.579,0.271,0.226
H,0.271,0.441,0.560,0.299,0.243
H,0.297,0.355,0.579,0.254,0.208
H,0.186,0.412,0.573,0.272,0.241
H,0.114,0.434,0.588,0.282,0.206
H,0.103,0.425,0.562,0.271,0.253
H,0.116,0.429,0.593,0.239,0.225
H,0.116,0.436,0.573,0.277,0.271
H,0.157,0.367,0.556,0.281,0.252
H,0.123,0.339,0.526,0.268,0.245
H,0.157,0.436,0.557,0.296,0.245
H,0.111,0.425,0.606,0.270,0.255
H,0.168,0.403,0.585,0.293,0.284
H,0.125,0.425,0.554,0.262,0.262
H,0.112,0.425,0.591,0.289,0.171
H,0.108,0.369,0.586,0.298,0.193
H,0.143,0.412,0.439,0.307,0.236
H,0.118,0.305,0.554,0.330,0.284
H,0.136,0.399,0.572,0.309,0.230
H,0.139,0.357,0.580,0.323,0.243
H,0.098,0.310,0.579,0.295,0.254
H,0.108,0.425,0.584,0.347,0.239
H,0.168,0.454,0.582,0.193,0.232
H,0.144,0.395,0.595,0.206,0.183
H,0.206,0.463,0.606,0.193,0.222
H,0.258,0.425,0.608,0.258,0.203
H,0.143,0.454,0.603,0.230,0.164
H,0.168,0.438,0.600,0.208,0.206
H,0.121,0.451,0.606,0.223,0.209
H,0.142,0.459,0.580,0.213,0.183
H,0.108,0.447,0.604,0.288,0.272
H,0.297,0.459,0.603,0.281,0.241
H,0.103,0.422,0.594,0.304,0.312
H,0.155,0.424,0.602,0.262,0.236
