Letter,Thumb,Index,Middle,Ring,Pinky
I,0.114,0.035,0.147,0.296,0.374
I,0.116,0.039,0.156,0.297,0.373
I,0.154,0.049,0.163,0.297,0.376
I,0.311,0.106,0.225,0.291,0.374
I,0.116,0.062,0.156,0.181,0.354
I,0.106,0.066,0.153,0.215,0.359
I,0.124,0.052,0.152,0.207,0.372
I,0.146,0.053,0.167,0.249,0.381
I,0.208,0.073,0.193,0.262,0.375
I,0.283,0.078,0.219,0.273,0.374
I,0.245,0.095,0.179,0.280,0.390
I,0.288,0.074,0.188,0.273,0.383
I,0.095,0.061,0.188,0.226,0.391
I,0.153,0.052,0.176,0.264,0.395
I,0.117,0.060,0.175,0.275,0.387
I,0.066,0.064,0.183,0.237,0.389
I,0.094,0.060,0.177,0.230,0.395
I,0.131,0.065,0.177,0.245,0.366
I,0.050,0.073,0.172,0.212,0.372
I,0.128,0.065,0.176,0.272,0.382
I,0.131,0.076,0.179,0.230,0.392
I,0.118,0.077,0.181,0.245,0.391
I,0.103,0.060,0.193,0.244,0.375
I,0.143,0.060,0.182,0.249,0.383
I,0.113,0.065,0.185,0.243,0.388
I,0.230,0.117,0.243,0.314,0.396
I,0.181,0.085,0.212,0.276,0.372
I,0.173,0.070,0.193,0.295,0.400
I,0.120,0.066,0.173,0.235,0.392
I,0.139,0.081,0.204,0.258,0.389
I,0.118,0.098,0.203,0.245,0.368
I,0.197,0.086,0.224,0.297,0.389
I,0.168,0.094,0.206,0.256,0.409
I,0.113,0.069,0.179,0.230,0.387
I,0.052,0.076,0.183,0.193,0.389
I,0.085,0.056,0.156,0.218,0.383
I,0.102,0.066,0.182,0.222,0.388
I,0.076,0.072,0.181,0.221,0.394
I,0.103,0.088,0.173,0.276,0.388
I,0.123,0.081,0.219,0.317,0.387
I,0.093,0.074,0.206,0.267,0.396
I,0.096,0.072,0.193,0.252,0.393
I,0.096,0.080,0.214,0.255,0.385
I,0.118,0.090,0.189,0.293,0.374
I,0.153,0.077,0.204,0.312,0.396
I,0.096,0.072,0.193,0.252,0.393
I,0.096,0.080,0.214,0.255,0.385
I,0.118,0.090,0.189,0.293,0.374
I,0.153,0.077,0.204,0.312,0.396
I,0.107,0.079,0.144,0.213,0.392
I,0.151,0.079,0.172,0.230,0.376
I,0.217,0.116,0.228,0.297,0.399
I,0.121,0.070,0.201,0.255,0.382
I,0.080,0.088,0.186,0.234,0.374
I,0.133,0.090,0.176,0.283,0.381
I,0.172,0.064,0.168,0.215,0.401
I,0.143,0.068,0.182,0.215,0.404
I,0.171,0.060,0.193,0.227,0.374
