Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
K,0.397,0.409,0.306,0.185,0.131,0,0,0
K,0.388,0.446,0.356,0.191,0.138,0,0,0
K,0.389,0.442,0.349,0.193,0.141,0,0,0
K,0.400,0.434,0.342,0.205,0.151,0,0,0
K,0.382,0.429,0.337,0.195,0.142,0,0,0
K,0.389,0.449,0.341,0.204,0.152,0,0,0
K,0.359,0.401,0.359,0.219,0.156,0,0,0
K,0.361,0.350,0.383,0.212,0.160,0,0,0
K,0.374,0.394,0.401,0.206,0.157,0,0,0
K,0.401,0.386,0.168,0.211,0.156,0,0,0
K,0.396,0.376,0.360,0.194,0.168,0,0,0
K,0.409,0.310,0.383,0.202,0.177,0,0,0
K,0.405,0.407,0.381,0.214,0.173,0,0,0
K,0.411,0.356,0.400,0.204,0.168,0,0,0
K,0.403,0.388,0.396,0.211,0.181,0,0,0
K,0.400,0.405,0.393,0.206,0.168,0,0,0
K,0.400,0.400,0.402,0.214,0.168,0,0,0
K,0.421,0.401,0.392,0.201,0.163,0,0,0
K,0.412,0.359,0.395,0.221,0.171,0,0,0
K,0.395,0.378,0.396,0.205,0.175,0,0,0
K,0.401,0.370,0.393,0.215,0.168,0,0,0
K,0.337,0.409,0.271,0.230,0.207,0,0,0
K,0.335,0.404,0.324,0.237,0.211,0,0,0
K,0.344,0.454,0.330,0.238,0.205,0,0,0
K,0.325,0.395,0.334,0.222,0.217,0,0,0
K,0.333,0.405,0.364,0.235,0.201,0,0,0
K,0.330,0.374,0.374,0.242,0.214,0,0,0
K,0.345,0.375,0.400,0.238,0.202,0,0,0
K,0.328,0.430,0.412,0.246,0.214,0,0,0
K,0.337,0.428,0.421,0.235,0.206,0,0,0
K,0.334,0.397,0.412,0.245,0.210,0,0,0
K,0.335,0.397,0.425,0.247,0.205,0,0,0
K,0.343,0.455,0.425,0.248,0.209,0,0,0
K,0.342,0.431,0.425,0.247,0.213,0,0,0
K,0.326,0.403,0.409,0.251,0.202,0,0,0
K,0.330,0.425,0.322,0.251,0.193,0,0,0
K,0.330,0.425,0.352,0.258,0.181,0,0,0
K,0.324,0.412,0.349,0.256,0.196,0,0,0
K,0.311,0.402,0.362,0.259,0.188,0,0,0
K,0.345,0.410,0.348,0.266,0.206,0,0,0
K,0.341,0.395,0.380,0.258,0.206,0,0,0
K,0.342,0.388,0.374,0.262,0.212,0,0,0
K,0.347,0.324,0.372,0.258,0.206,0,0,0
K,0.342,0.459,0.387,0.259,0.225,0,0,0
K,0.352,0.407,0.401,0.265,0.218,0,0,0
K,0.337,0.464,0.407,0.260,0.210,0,0,0
K,0.346,0.451,0.400,0.245,0.217,0,0,0
K,0.347,0.453,0.422,0.244,0.219,0,0,0
K,0.257,0.391,0.224,0.258,0.220,0,0,0
K,0.247,0.381,0.291,0.243,0.221,0,0,0
K,0.251,0.412,0.291,0.251,0.215,0,0,0
K,0.259,0.405,0.284,0.255,0.215,0,0,0
K,0.264,0.439,0.281,0.258,0.220,0,0,0
K,0.262,0.392,0.304,0.265,0.232,0,0,0
K,0.262,0.409,0.311,0.259,0.218,0,0,0
K,0.253,0.446,0.342,0.253,0.214,0,0,0
K,0.268,0.442,0.354,0.268,0.220,0,0,0
K,0.261,0.434,0.376,0.261,0.215,0,0,0
K,0.280,0.429,0.376,0.261,0.219,0,0,0
K,0.289,0.449,0.379,0.256,0.214,0,0,0
K,0.340,0.401,0.407,0.289,0.179,0,0,0
K,0.348,0.350,0.436,0.284,0.169,0,0,0
K,0.334,0.394,0.426,0.284,0.167,0,0,0
K,0.339,0.386,0.408,0.274,0.172,0,0,0
K,0.352,0.376,0.425,0.284,0.168,0,0,0
K,0.334,0.310,0.412,0.280,0.168,0,0,0
K,0.338,0.407,0.412,0.284,0.184,0,0,0
