Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
L,0.501,0.387,0.093,0.202,0.172,0,0,0
L,0.501,0.359,0.114,0.222,0.123,0,0,0
L,0.492,0.352,0.121,0.219,0.155,0,0,0
L,0.500,0.359,0.116,0.214,0.156,0,0,0
L,0.501,0.367,0.111,0.207,0.143,0,0,0
L,0.512,0.352,0.115,0.221,0.155,0,0,0
L,0.516,0.365,0.107,0.201,0.178,0,0,0
L,0.489,0.352,0.095,0.207,0.151,0,0,0
L,0.514,0.337,0.098,0.219,0.151,0,0,0
L,0.478,0.343,0.122,0.246,0.181,0,0,0
L,0.490,0.360,0.108,0.245,0.163,0,0,0
L,0.490,0.366,0.117,0.241,0.189,0,0,0
L,0.497,0.363,0.108,0.236,0.199,0,0,0
L,0.488,0.362,0.117,0.267,0.189,0,0,0
L,0.488,0.365,0.135,0.245,0.197,0,0,0
L,0.479,0.360,0.139,0.266,0.177,0,0,0
L,0.477,0.344,0.143,0.245,0.176,0,0,0
L,0.495,0.334,0.127,0.271,0.183,0,0,0
L,0.477,0.361,0.132,0.251,0.185,0,0,0
L,0.472,0.330,0.136,0.258,0.170,0,0,0
L,0.486,0.247,0.106,0.247,0.180,0,0,0
L,0.470,0.363,0.138,0.260,0.185,0,0,0
L,0.492,0.378,0.140,0.240,0.170,0,0,0
L,0.477,0.403,0.133,0.255,0.181,0,0,0
L,0.464,0.388,0.135,0.247,0.181,0,0,0
L,0.487,0.401,0.128,0.245,0.180,0,0,0
L,0.477,0.405,0.126,0.246,0.194,0,0,0
L,0.479,0.394,0.142,0.254,0.191,0,0,0
L,0.488,0.396,0.117,0.242,0.183,0,0,0
L,0.504,0.384,0.131,0.246,0.182,0,0,0
L,0.490,0.384,0.127,0.255,0.197,0,0,0
L,0.490,0.359,0.131,0.251,0.183,0,0,0
L,0.477,0.370,0.135,0.247,0.176,0,0,0
L,0.477,0.376,0.133,0.247,0.193,0,0,0
L,0.492,0.378,0.127,0.247,0.189,0,0,0
L,0.442,0.376,0.112,0.245,0.206,0,0,0
L,0.425,0.370,0.135,0.276,0.189,0,0,0
L,0.434,0.348,0.131,0.249,0.193,0,0,0
L,0.447,0.334,0.142,0.282,0.191,0,0,0
L,0.460,0.275,0.127,0.256,0.211,0,0,0
L,0.451,0.350,0.126,0.277,0.206,0,0,0
L,0.427,0.335,0.117,0.245,0.172,0,0,0
L,0.450,0.376,0.118,0.258,0.176,0,0,0
L,0.456,0.373,0.122,0.265,0.192,0,0,0
L,0.442,0.374,0.131,0.252,0.204,0,0,0
L,0.436,0.346,0.112,0.271,0.186,0,0,0
L,0.450,0.345,0.111,0.262,0.193,0,0,0
L,0.452,0.374,0.121,0.264,0.185,0,0,0
L,0.442,0.364,0.142,0.263,0.193,0,0,0
L,0.451,0.343,0.113,0.245,0.193,0,0,0
L,0.434,0.355,0.136,0.276,0.207,0,0,0
L,0.450,0.301,0.131,0.258,0.203,0,0,0
