Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
O,0.284,0.199,0.305,0.340,0.328,0,1,1
O,0.270,0.219,0.296,0.353,0.342,1,1,1
O,0.256,0.168,0.230,0.222,0.235,0,0,0
O,0.388,0.168,0.243,0.242,0.229,1,1,1
O,0.367,0.182,0.231,0.230,0.181,0,0,0
O,0.400,0.194,0.204,0.219,0.185,0,1,0
O,0.442,0.218,0.219,0.244,0.182,0,0,1
O,0.450,0.206,0.234,0.230,0.176,0,0,1
O,0.401,0.231,0.325,0.322,0.284,1,1,1
O,0.202,0.254,0.280,0.320,0.268,0,0,0
O,0.466,0.180,0.309,0.323,0.279,0,1,1
O,0.446,0.181,0.306,0.327,0.301,0,1,1
O,0.463,0.219,0.314,0.314,0.291,0,1,1
O,0.460,0.193,0.339,0.309,0.303,0,1,1
O,0.470,0.233,0.323,0.297,0.309,0,1,1
O,0.470,0.214,0.347,0.317,0.288,0,1,1
O,0.461,0.236,0.323,0.314,0.322,0,1,1
O,0.460,0.243,0.302,0.333,0.291,0,1,1
O,0.455,0.206,0.327,0.318,0.292,0,1,1
O,0.426,0.218,0.334,0.330,0.292,0,1,1
O,0.459,0.295,0.313,0.334,0.304,0,1,1
O,0.428,0.260,0.334,0.300,0.288,0,1,1
O,0.438,0.239,0.327,0.322,0.309,0,1,1
O,0.451,0.259,0.337,0.320,0.309,0,1,1
O,0.452,0.249,0.322,0.309,0.295,0,1,1
O,0.434,0.253,0.322,0.337,0.297,0,1,1
O,0.447,0.241,0.317,0.324,0.305,0,1,1
O,0.466,0.259,0.336,0.327,0.293,0,0,1
O,0.443,0.334,0.326,0.334,0.312,0,1,1
O,0.429,0.226,0.309,0.305,0.296,0,1,1
O,0.447,0.310,0.322,0.347,0.297,0,1,1
O,0.443,0.258,0.334,0.326,0.288,0,1,1
O,0.450,0.256,0.321,0.317,0.297,0,1,1
O,0.289,0.191,0.248,0.317,0.271,0,1,1
O,0.285,0.226,0.240,0.293,0.265,0,1,1
O,0.276,0.255,0.262,0.311,0.251,0,1,1
O,0.273,0.200,0.275,0.304,0.262,0,1,1
O,0.291,0.225,0.253,0.276,0.271,0,1,1
O,0.293,0.245,0.253,0.283,0.259,0,1,1
O,0.266,0.229,0.255,0.267,0.251,0,1,1
O,0.284,0.232,0.260,0.302,0.254,0,1,1
O,0.272,0.227,0.255,0.286,0.265,0,1,1
O,0.267,0.170,0.252,0.273,0.266,0,1,1
O,0.269,0.219,0.268,0.280,0.271,0,1,1
O,0.270,0.197,0.260,0.297,0.256,0,1,1
O,0.273,0.228,0.253,0.295,0.249,0,1,1
O,0.274,0.198,0.243,0.295,0.269,0,1,1
O,0.293,0.219,0.258,0.279,0.280,0,1,1
O,0.276,0.216,0.256,0.300,0.265,0,1,1
O,0.271,0.252,0.259,0.268,0.265,0,1,1
O,0.264,0.268,0.257,0.271,0.274,0,1,1
O,0.272,0.259,0.251,0.271,0.262,0,1,1
O,0.289,0.245,0.252,0.296,0.258,0,1,1
O,0.268,0.233,0.250,0.277,0.250,0,1,1
O,0.259,0.245,0.262,0.276,0.256,0,1,1
O,0.272,0.201,0.259,0.292,0.262,0,1,1
O,0.279,0.219,0.259,0.280,0.265,0,1,1
O,0.266,0.185,0.267,0.282,0.258,0,1,1
O,0.288,0.219,0.257,0.271,0.271,0,1,1
O,0.286,0.169,0.271,0.276,0.271,0,1,1
O,0.272,0.185,0.266,0.288,0.278,0,1,1
O,0.293,0.193,0.269,0.272,0.247,0,1,1
O,0.260,0.197,0.258,0.300,0.272,0,1,1
O,0.288,0.197,0.258,0.273,0.258,0,1,1
O,0.272,0.199,0.260,0.286,0.280,0,1,1
O,0.280,0.219,0.258,0.280,0.271,0,1,1
