Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
P,0.295,0.387,0.157,0.207,0.142,0,1,1
P,0.293,0.359,0.161,0.214,0.135,0,1,1
P,0.297,0.352,0.140,0.193,0.125,0,1,1
P,0.305,0.359,0.144,0.195,0.131,0,1,1
P,0.313,0.367,0.168,0.193,0.139,0,1,1
P,0.309,0.352,0.167,0.189,0.146,0,1,1
P,0.343,0.365,0.152,0.205,0.126,0,1,1
P,0.343,0.352,0.157,0.193,0.121,0,1,1
P,0.343,0.337,0.152,0.195,0.127,0,1,1
P,0.324,0.343,0.159,0.208,0.124,0,1,1
P,0.341,0.360,0.170,0.193,0.143,0,1,1
P,0.347,0.366,0.164,0.210,0.116,0,1,1
P,0.336,0.363,0.155,0.211,0.139,0,1,1
P,0.348,0.362,0.150,0.206,0.142,0,1,1
P,0.314,0.365,0.156,0.210,0.151,0,1,1
P,0.341,0.360,0.160,0.221,0.149,0,1,1
P,0.348,0.344,0.155,0.218,0.130,0,1,1
P,0.334,0.334,0.172,0.206,0.145,0,1,1
P,0.336,0.361,0.161,0.211,0.139,0,1,1
P,0.326,0.330,0.168,0.193,0.153,0,1,1
P,0.347,0.247,0.152,0.206,0.141,0,1,1
P,0.333,0.363,0.163,0.203,0.146,0,1,1
P,0.343,0.378,0.163,0.222,0.139,0,1,1
P,0.344,0.403,0.164,0.212,0.144,0,1,1
P,0.348,0.388,0.168,0.205,0.146,0,1,1
P,0.343,0.401,0.162,0.212,0.138,0,1,1
P,0.343,0.405,0.170,0.194,0.133,0,1,1
P,0.324,0.394,0.165,0.206,0.136,0,1,1
P,0.327,0.396,0.157,0.212,0.151,0,1,1
P,0.346,0.384,0.164,0.206,0.141,0,1,1
P,0.337,0.384,0.160,0.189,0.146,0,1,1
P,0.330,0.359,0.164,0.209,0.136,0,1,1
P,0.337,0.370,0.165,0.201,0.141,0,1,1
P,0.336,0.376,0.156,0.210,0.147,0,1,1
P,0.332,0.378,0.166,0.211,0.147,0,1,1
P,0.351,0.376,0.154,0.197,0.142,0,1,1
P,0.339,0.370,0.168,0.211,0.144,0,1,1
P,0.337,0.348,0.164,0.218,0.131,0,1,1
P,0.341,0.334,0.181,0.204,0.142,0,1,1
P,0.332,0.275,0.168,0.214,0.137,0,1,1
P,0.327,0.350,0.165,0.193,0.136,0,1,1
P,0.330,0.335,0.172,0.208,0.121,0,1,1
P,0.343,0.376,0.171,0.210,0.152,0,1,1
P,0.339,0.373,0.157,0.208,0.135,0,1,1
P,0.345,0.374,0.168,0.214,0.133,0,1,1
P,0.347,0.346,0.172,0.219,0.132,0,1,1
P,0.344,0.345,0.165,0.210,0.149,0,1,1
P,0.345,0.374,0.168,0.206,0.150,0,1,1
P,0.326,0.364,0.164,0.207,0.146,0,1,1
P,0.338,0.343,0.159,0.210,0.147,0,1,1
P,0.323,0.355,0.165,0.214,0.147,0,1,1
P,0.347,0.301,0.171,0.214,0.146,0,1,1
P,0.327,0.372,0.159,0.229,0.142,0,1,1
P,0.335,0.372,0.173,0.194,0.153,0,1,1
P,0.340,0.387,0.160,0.199,0.138,0,1,1
P,0.351,0.359,0.154,0.208,0.143,0,1,1
P,0.338,0.352,0.175,0.219,0.150,0,1,1
P,0.334,0.359,0.168,0.217,0.137,0,1,1
P,0.341,0.367,0.168,0.218,0.156,0,1,1
P,0.323,0.352,0.181,0.199,0.141,0,1,1
P,0.344,0.365,0.163,0.209,0.147,0,1,1
P,0.337,0.352,0.168,0.200,0.147,0,1,1
P,0.337,0.337,0.164,0.195,0.142,0,1,1
P,0.340,0.343,0.164,0.217,0.142,0,1,1
P,0.344,0.360,0.168,0.204,0.141,0,1,1
P,0.334,0.366,0.170,0.208,0.147,0,1,1
P,0.340,0.363,0.163,0.208,0.147,0,1,1
P,0.333,0.362,0.164,0.197,0.139,0,1,1
P,0.349,0.365,0.165,0.201,0.149,0,1,1
P,0.331,0.360,0.168,0.210,0.135,0,1,1
P,0.337,0.344,0.176,0.199,0.142,0,1,1
P,0.331,0.334,0.168,0.206,0.144,0,1,1
