Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
Q,0.520,0.387,0.309,0.356,0.255,0,1,1
Q,0.492,0.359,0.309,0.363,0.269,0,1,1
Q,0.490,0.352,0.305,0.348,0.255,0,1,1
Q,0.497,0.359,0.322,0.358,0.261,0,1,0
Q,0.496,0.367,0.305,0.342,0.256,0,1,1
Q,0.494,0.352,0.297,0.353,0.272,0,1,1
Q,0.504,0.365,0.300,0.363,0.250,0,1,1
Q,0.475,0.352,0.297,0.356,0.265,0,1,1
Q,0.492,0.337,0.309,0.341,0.265,0,1,1
Q,0.491,0.343,0.318,0.361,0.263,0,1,1
Q,0.494,0.360,0.320,0.346,0.276,0,1,1
Q,0.479,0.366,0.321,0.348,0.271,0,1,1
Q,0.501,0.363,0.304,0.348,0.268,0,1,1
Q,0.477,0.362,0.322,0.348,0.262,0,1,1
Q,0.490,0.365,0.304,0.341,0.258,0,1,1
Q,0.508,0.360,0.324,0.331,0.267,0,1,1
Q,0.488,0.344,0.308,0.352,0.271,0,1,1
Q,0.491,0.334,0.309,0.353,0.260,0,1,1
Q,0.504,0.361,0.326,0.366,0.265,0,1,1
Q,0.499,0.330,0.322,0.369,0.281,0,1,1
Q,0.501,0.247,0.319,0.351,0.258,0,1,1
Q,0.524,0.363,0.322,0.338,0.270,0,1,1
Q,0.517,0.378,0.313,0.367,0.271,0,1,1
Q,0.512,0.403,0.322,0.345,0.258,0,1,1
Q,0.477,0.388,0.305,0.347,0.245,0,1,1
Q,0.496,0.401,0.300,0.359,0.271,0,1,1
Q,0.485,0.405,0.296,0.348,0.264,0,1,1
Q,0.500,0.394,0.301,0.338,0.270,0,1,1
Q,0.490,0.396,0.305,0.351,0.266,0,1,1
Q,0.486,0.384,0.288,0.322,0.259,0,1,1
Q,0.483,0.384,0.315,0.372,0.263,0,1,1
Q,0.504,0.359,0.289,0.338,0.266,0,1,1
Q,0.482,0.370,0.305,0.351,0.272,0,1,1
Q,0.476,0.376,0.301,0.357,0.269,0,1,1
Q,0.504,0.378,0.313,0.347,0.267,0,1,1
Q,0.490,0.376,0.297,0.348,0.270,0,1,1
Q,0.482,0.370,0.289,0.349,0.276,0,1,1
Q,0.489,0.348,0.312,0.347,0.267,0,1,1
Q,0.484,0.334,0.293,0.363,0.271,0,1,1
Q,0.484,0.275,0.321,0.359,0.267,0,1,1
Q,0.482,0.350,0.326,0.366,0.292,0,1,1
Q,0.503,0.335,0.309,0.348,0.275,0,1,1
Q,0.486,0.376,0.322,0.374,0.254,0,1,1
Q,0.500,0.373,0.301,0.372,0.278,0,1,1
Q,0.497,0.374,0.298,0.351,0.258,0,1,1
Q,0.490,0.346,0.297,0.363,0.266,0,1,1
Q,0.492,0.345,0.309,0.352,0.273,0,1,1
Q,0.479,0.374,0.317,0.348,0.267,0,1,1
Q,0.492,0.364,0.315,0.361,0.286,0,1,1
Q,0.505,0.343,0.297,0.340,0.273,0,1,1
Q,0.510,0.355,0.324,0.348,0.254,0,1,1
Q,0.493,0.301,0.312,0.376,0.280,0,1,1
Q,0.498,0.372,0.291,0.361,0.268,0,1,1
Q,0.475,0.372,0.331,0.347,0.271,0,1,1
Q,0.503,0.387,0.317,0.357,0.274,0,1,1
