Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
R,0.103,0.387,0.460,0.266,0.098,0,0,1
R,0.118,0.359,0.477,0.271,0.095,0,0,1
R,0.109,0.352,0.470,0.258,0.101,0,0,1
R,0.107,0.359,0.467,0.279,0.114,0,0,1
R,0.113,0.367,0.459,0.271,0.110,0,0,1
R,0.108,0.352,0.470,0.281,0.107,0,0,1
R,0.116,0.365,0.485,0.235,0.106,0,0,1
R,0.118,0.352,0.484,0.264,0.110,0,0,1
R,0.141,0.337,0.454,0.223,0.108,0,0,1
R,0.121,0.343,0.464,0.265,0.105,0,0,1
R,0.118,0.360,0.484,0.276,0.116,0,0,1
R,0.129,0.366,0.470,0.265,0.122,0,0,1
R,0.129,0.363,0.492,0.258,0.115,0,0,1
R,0.120,0.362,0.476,0.284,0.089,0,0,1
R,0.137,0.365,0.464,0.267,0.103,0,0,1
R,0.129,0.360,0.468,0.259,0.102,0,0,1
R,0.121,0.344,0.475,0.250,0.108,0,0,1
R,0.142,0.334,0.464,0.269,0.119,0,0,1
R,0.131,0.361,0.468,0.266,0.116,0,0,1
R,0.124,0.330,0.467,0.259,0.108,0,0,1
R,0.114,0.247,0.483,0.275,0.125,0,0,1
R,0.127,0.363,0.477,0.273,0.106,0,0,1
R,0.110,0.378,0.492,0.272,0.109,0,0,1
R,0.128,0.403,0.450,0.282,0.103,0,0,1
R,0.114,0.388,0.464,0.259,0.107,0,0,1
R,0.142,0.401,0.459,0.258,0.103,0,0,1
R,0.142,0.405,0.483,0.281,0.095,0,0,1
R,0.142,0.394,0.484,0.269,0.114,0,0,1
R,0.155,0.396,0.480,0.280,0.116,0,0,1
R,0.138,0.384,0.477,0.263,0.111,0,0,1
R,0.148,0.384,0.467,0.267,0.110,0,0,1
R,0.134,0.359,0.467,0.293,0.098,0,0,1
R,0.142,0.370,0.458,0.251,0.106,0,0,1
R,0.142,0.376,0.464,0.268,0.122,0,0,1
R,0.118,0.378,0.479,0.258,0.124,0,0,1
R,0.140,0.376,0.477,0.286,0.106,0,0,1
R,0.150,0.370,0.455,0.271,0.120,0,0,1
R,0.147,0.348,0.466,0.258,0.101,0,0,1
R,0.142,0.334,0.472,0.251,0.127,0,0,1
R,0.131,0.275,0.479,0.283,0.103,0,0,1
R,0.159,0.350,0.464,0.271,0.116,0,0,1
R,0.155,0.335,0.481,0.255,0.110,0,0,1
R,0.134,0.376,0.479,0.272,0.116,0,0,1
R,0.158,0.373,0.471,0.258,0.108,0,0,1
R,0.152,0.374,0.473,0.245,0.129,0,0,1
R,0.130,0.346,0.460,0.246,0.106,0,0,1
R,0.120,0.345,0.453,0.237,0.136,0,0,1
R,0.145,0.374,0.477,0.260,0.114,0,0,1
R,0.157,0.364,0.457,0.267,0.120,0,0,1
R,0.138,0.343,0.477,0.253,0.116,0,0,1
R,0.145,0.355,0.472,0.245,0.102,0,0,1
R,0.150,0.301,0.477,0.241,0.114,0,0,1
R,0.145,0.372,0.477,0.273,0.107,0,0,1
R,0.144,0.372,0.479,0.276,0.109,0,0,1
R,0.156,0.387,0.492,0.258,0.129,0,0,1
R,0.128,0.359,0.459,0.271,0.138,0,0,1
R,0.145,0.352,0.469,0.271,0.131,0,0,1
R,0.159,0.359,0.481,0.272,0.102,0,0,1
R,0.155,0.367,0.478,0.271,0.127,0,0,1
R,0.149,0.352,0.455,0.242,0.128,0,0,1
R,0.139,0.365,0.461,0.247,0.120,0,0,1
R,0.158,0.352,0.482,0.259,0.131,0,0,1
R,0.150,0.337,0.475,0.263,0.125,0,0,1
R,0.140,0.343,0.475,0.235,0.128,0,0,1
