Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
S,0.144,0.121,0.163,0.238,0.142,0,1,1
S,0.164,0.135,0.149,0.258,0.146,0,1,1
S,0.142,0.127,0.125,0.257,0.159,0,1,1
S,0.165,0.138,0.143,0.259,0.142,0,1,1
S,0.168,0.127,0.133,0.258,0.142,0,1,1
S,0.172,0.131,0.167,0.279,0.156,0,1,1
S,0.169,0.146,0.155,0.262,0.149,0,1,1
S,0.168,0.129,0.150,0.253,0.153,0,1,1
S,0.163,0.136,0.176,0.262,0.153,0,1,1
S,0.168,0.133,0.136,0.267,0.166,0,1,1
S,0.164,0.142,0.166,0.283,0.164,0,1,1
S,0.172,0.142,0.155,0.263,0.143,0,1,1
S,0.168,0.133,0.172,0.273,0.169,0,1,1
S,0.171,0.131,0.150,0.251,0.152,0,1,1
S,0.160,0.123,0.166,0.258,0.147,0,1,1
S,0.147,0.136,0.154,0.268,0.147,0,1,1
S,0.147,0.139,0.127,0.273,0.149,0,1,1
S,0.152,0.120,0.122,0.250,0.160,0,1,1
S,0.177,0.142,0.131,0.273,0.147,0,1,1
S,0.155,0.140,0.109,0.272,0.143,0,1,1
S,0.167,0.139,0.131,0.268,0.165,0,1,1
S,0.172,0.141,0.155,0.259,0.147,0,1,1
S,0.160,0.122,0.159,0.267,0.162,0,1,1
S,0.168,0.130,0.142,0.282,0.155,0,1,1
S,0.175,0.123,0.144,0.258,0.142,0,1,1
S,0.170,0.125,0.141,0.271,0.152,0,1,1
S,0.150,0.127,0.143,0.266,0.164,0,1,1
S,0.143,0.112,0.114,0.279,0.147,0,1,1
S,0.159,0.103,0.129,0.258,0.164,0,1,1
S,0.165,0.107,0.156,0.252,0.144,0,1,1
S,0.160,0.114,0.135,0.273,0.141,0,1,1
S,0.175,0.123,0.147,0.265,0.159,0,1,1
S,0.155,0.068,0.111,0.271,0.156,0,1,1
S,0.168,0.110,0.144,0.269,0.143,0,1,1
S,0.162,0.114,0.168,0.272,0.147,0,1,1
S,0.181,0.116,0.139,0.275,0.155,0,1,1
S,0.164,0.098,0.126,0.278,0.145,0,1,1
S,0.177,0.103,0.140,0.263,0.166,0,1,1
S,0.155,0.134,0.147,0.264,0.152,0,1,1
S,0.147,0.116,0.145,0.270,0.169,0,1,1
S,0.171,0.096,0.138,0.263,0.147,0,1,1
S,0.156,0.090,0.156,0.258,0.158,0,1,1
S,0.172,0.093,0.136,0.280,0.156,0,1,1
S,0.152,0.123,0.142,0.284,0.168,0,1,1
S,0.155,0.124,0.137,0.288,0.157,0,1,1
S,0.157,0.116,0.143,0.273,0.142,0,1,1
S,0.155,0.119,0.141,0.284,0.151,0,1,1
S,0.153,0.112,0.147,0.272,0.163,0,1,1
S,0.167,0.102,0.141,0.271,0.151,0,1,1
S,0.161,0.105,0.133,0.289,0.152,0,1,1
S,0.182,0.098,0.142,0.263,0.147,0,1,1
S,0.156,0.117,0.155,0.255,0.156,0,1,1
S,0.168,0.093,0.150,0.283,0.177,0,1,1
S,0.164,0.118,0.116,0.284,0.157,0,1,1
S,0.155,0.114,0.140,0.271,0.152,0,1,1
S,0.159,0.128,0.141,0.282,0.141,0,1,1
S,0.154,0.131,0.142,0.271,0.157,0,1,1
S,0.180,0.121,0.135,0.283,0.168,0,1,1
S,0.155,0.135,0.130,0.270,0.155,0,1,1
S,0.161,0.127,0.133,0.276,0.144,0,1,1
S,0.158,0.138,0.154,0.279,0.143,0,1,1
S,0.160,0.127,0.161,0.264,0.168,0,1,1
S,0.170,0.131,0.143,0.253,0.147,0,1,1
S,0.176,0.146,0.132,0.287,0.145,0,1,1
S,0.172,0.129,0.127,0.278,0.142,0,1,1
S,0.182,0.136,0.146,0.270,0.164,0,1,1
S,0.171,0.133,0.141,0.269,0.145,0,1,1
S,0.170,0.142,0.137,0.269,0.154,0,1,1
S,0.163,0.142,0.134,0.279,0.152,0,1,1
S,0.166,0.133,0.120,0.268,0.170,0,1,1
