Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
U,0.106,0.387,0.551,0.309,0.09,1,1,1
U,0.120,0.359,0.558,0.314,0.108,1,1,1
U,0.119,0.352,0.542,0.402,0.103,1,1,1
U,0.118,0.359,0.564,0.421,0.099,1,1,1
U,0.115,0.367,0.567,0.432,0.112,1,1,1
U,0.116,0.352,0.567,0.313,0.103,1,1,1
U,0.124,0.365,0.565,0.318,0.109,1,1,1
U,0.117,0.352,0.562,0.310,0.103,1,1,1
U,0.125,0.337,0.563,0.318,0.106,1,1,0
U,0.116,0.343,0.575,0.323,0.105,1,1,0
U,0.126,0.360,0.553,0.312,0.106,1,1,0
U,0.134,0.366,0.573,0.322,0.120,1,1,0
U,0.138,0.363,0.572,0.320,0.118,1,1,0
U,0.142,0.362,0.589,0.320,0.121,1,1,0
U,0.140,0.365,0.583,0.328,0.121,1,1,0
U,0.137,0.360,0.586,0.321,0.127,1,1,0
U,0.126,0.344,0.595,0.313,0.116,1,1,0
U,0.140,0.334,0.589,0.321,0.126,1,1,0
U,0.132,0.361,0.587,0.322,0.135,1,1,0
U,0.151,0.330,0.588,0.331,0.118,1,1,0
U,0.129,0.247,0.580,0.324,0.111,1,1,0
U,0.145,0.363,0.604,0.338,0.115,1,1,0
U,0.139,0.378,0.587,0.319,0.134,1,1,0
U,0.127,0.403,0.595,0.314,0.131,1,1,0
U,0.139,0.388,0.596,0.318,0.117,1,1,0
U,0.118,0.401,0.606,0.337,0.125,1,1,0
U,0.142,0.405,0.587,0.335,0.143,1,1,0
U,0.153,0.394,0.603,0.331,0.127,1,1,0
U,0.134,0.396,0.599,0.328,0.131,1,1,0
U,0.143,0.384,0.595,0.318,0.131,1,1,0
U,0.139,0.384,0.602,0.333,0.120,1,1,0
U,0.139,0.376,0.598,0.331,0.147,1,1,0
U,0.147,0.370,0.604,0.309,0.129,1,1,0
U,0.131,0.348,0.600,0.325,0.132,1,1,0
U,0.143,0.345,0.595,0.323,0.142,1,1,0
U,0.146,0.346,0.599,0.318,0.141,1,1,0
U,0.139,0.355,0.606,0.328,0.135,1,1,0
U,0.147,0.374,0.605,0.331,0.147,1,1,0
U,0.142,0.345,0.602,0.324,0.139,1,1,0
U,0.142,0.345,0.606,0.326,0.152,1,1,0
U,0.146,0.350,0.594,0.336,0.140,1,1,0
U,0.144,0.335,0.599,0.330,0.141,1,1,0
U,0.142,0.301,0.600,0.335,0.156,1,1,0
U,0.146,0.372,0.601,0.333,0.144,1,1,0
U,0.145,0.372,0.612,0.321,0.147,1,1,0
U,0.153,0.367,0.606,0.323,0.144,1,1,0
U,0.156,0.376,0.598,0.333,0.160,1,1,0
U,0.159,0.378,0.612,0.341,0.155,1,1,0
U,0.169,0.376,0.598,0.328,0.159,1,1,0
U,0.155,0.370,0.593,0.346,0.165,1,1,0
U,0.160,0.348,0.600,0.331,0.166,1,1,0
U,0.147,0.348,0.592,0.330,0.157,1,1,0
U,0.146,0.350,0.594,0.336,0.140,1,1,0
U,0.144,0.335,0.599,0.330,0.141,1,1,0
U,0.142,0.301,0.600,0.335,0.156,1,1,0
U,0.146,0.372,0.601,0.333,0.144,1,1,0
U,0.145,0.372,0.612,0.321,0.147,1,1,0
U,0.153,0.367,0.606,0.323,0.144,1,1,0
U,0.156,0.376,0.598,0.333,0.160,1,1,0
U,0.159,0.378,0.612,0.341,0.155,1,1,0
U,0.169,0.376,0.598,0.328,0.159,1,1,0
U,0.155,0.370,0.593,0.346,0.165,1,1,0
U,0.160,0.348,0.600,0.331,0.166,1,1,0
U,0.147,0.348,0.592,0.330,0.157,1,1,0
U,0.158,0.334,0.608,0.338,0.150,1,1,0
U,0.175,0.459,0.618,0.337,0.155,1,1,0
U,0.156,0.407,0.610,0.332,0.168,1,1,0
U,0.169,0.464,0.612,0.342,0.159,1,1,0
U,0.172,0.451,0.605,0.339,0.168,1,1,0
U,0.164,0.395,0.612,0.333,0.168,1,1,0
U,0.164,0.405,0.607,0.331,0.161,1,1,0
U,0.175,0.459,0.605,0.344,0.158,1,1,0
U,0.170,0.407,0.613,0.331,0.168,1,1,0
