Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
V,0.137,0.387,0.51,0.293,0.167,0,0,1
V,0.143,0.359,0.496,0.309,0.193,0,0,1
V,0.141,0.352,0.529,0.253,0.18,0,0,1
V,0.124,0.359,0.507,0.301,0.167,0,0,1
V,0.139,0.367,0.506,0.271,0.175,0,0,1
V,0.137,0.352,0.502,0.308,0.181,0,0,1
V,0.137,0.365,0.505,0.362,0.173,0,0,1
V,0.134,0.352,0.517,0.299,0.181,0,0,1
V,0.15,0.337,0.507,0.254,0.178,0,0,1
V,0.136,0.343,0.513,0.301,0.182,0,0,1
V,0.142,0.36,0.505,0.305,0.176,0,0,1
V,0.141,0.366,0.503,0.256,0.178,0,0,1
V,0.147,0.363,0.517,0.297,0.182,0,0,1
V,0.14,0.362,0.521,0.32,0.168,0,0,1
V,0.142,0.365,0.516,0.308,0.175,0,0,1
V,0.127,0.36,0.51,0.271,0.178,0,0,1
V,0.126,0.344,0.505,0.335,0.156,0,0,1
V,0.14,0.334,0.495,0.312,0.16,0,0,1
V,0.142,0.361,0.514,0.303,0.181,0,0,1
V,0.146,0.33,0.487,0.245,0.168,0,0,1
V,0.155,0.247,0.515,0.285,0.176,0,0,1
V,0.141,0.363,0.516,0.295,0.185,0,0,1
V,0.162,0.378,0.501,0.299,0.182,0,0,1
V,0.152,0.403,0.516,0.309,0.163,0,0,1
V,0.149,0.388,0.513,0.308,0.167,0,0,1
V,0.145,0.401,0.503,0.337,0.176,0,0,1
V,0.14,0.405,0.503,0.288,0.168,0,0,1
V,0.132,0.394,0.514,0.289,0.19,0,0,1
V,0.142,0.396,0.498,0.301,0.191,0,0,1
V,0.146,0.384,0.492,0.293,0.178,0,0,1
V,0.14,0.384,0.503,0.279,0.17,0,0,1
