Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
W,0.152,0.387,0.477,0.457,0.317,0,0,1
W,0.163,0.359,0.47,0.445,0.318,0,0,1
W,0.159,0.352,0.477,0.452,0.347,0,0,1
W,0.151,0.359,0.479,0.478,0.335,0,0,1
W,0.168,0.367,0.494,0.448,0.37,0,0,1
W,0.168,0.352,0.456,0.471,0.334,0,0,1
W,0.165,0.365,0.482,0.475,0.359,0,0,1
W,0.165,0.352,0.464,0.455,0.325,0,0,1
W,0.145,0.337,0.483,0.455,0.318,0,0,1
W,0.172,0.343,0.457,0.479,0.322,0,0,1
W,0.168,0.36,0.471,0.452,0.259,0,0,1
W,0.172,0.366,0.476,0.467,0.339,0,0,1
W,0.176,0.363,0.464,0.464,0.334,0,0,1
W,0.177,0.362,0.477,0.479,0.305,0,0,1
W,0.168,0.365,0.46,0.451,0.359,0,0,1
W,0.153,0.36,0.477,0.455,0.341,0,0,1
W,0.185,0.344,0.459,0.479,0.352,0,0,1
W,0.176,0.334,0.478,0.451,0.338,0,0,1
W,0.177,0.361,0.502,0.477,0.343,0,0,1
W,0.154,0.33,0.459,0.475,0.289,0,0,1
W,0.175,0.247,0.484,0.486,0.271,0,0,1
W,0.169,0.363,0.5,0.459,0.346,0,0,1
W,0.192,0.378,0.479,0.469,0.284,0,0,1
W,0.179,0.403,0.486,0.464,0.335,0,0,1
W,0.173,0.388,0.479,0.479,0.312,0,0,1
W,0.162,0.401,0.495,0.455,0.345,0,0,1
W,0.18,0.405,0.481,0.464,0.247,0,0,1
W,0.169,0.394,0.497,0.467,0.342,0,0,1
W,0.156,0.396,0.491,0.475,0.339,0,0,1
W,0.175,0.384,0.479,0.46,0.339,0,0,1
W,0.155,0.384,0.503,0.452,0.348,0,0,1
W,0.184,0.359,0.477,0.486,0.334,0,0,1
W,0.168,0.37,0.473,0.459,0.314,0,0,1
W,0.168,0.376,0.483,0.479,0.323,0,0,1
W,0.181,0.378,0.484,0.47,0.322,0,0,1
W,0.183,0.376,0.502,0.446,0.32,0,0,1
W,0.165,0.37,0.503,0.477,0.34,0,0,1
W,0.172,0.348,0.469,0.482,0.34,0,0,1
W,0.173,0.334,0.465,0.486,0.314,0,0,1
W,0.163,0.275,0.473,0.479,0.318,0,0,1
W,0.181,0.35,0.477,0.48,0.33,0,0,1
W,0.168,0.335,0.46,0.469,0.346,0,0,1
W,0.191,0.376,0.475,0.502,0.322,0,0,1
W,0.185,0.373,0.477,0.459,0.325,0,0,1
W,0.178,0.374,0.486,0.465,0.313,0,0,1
W,0.168,0.346,0.469,0.468,0.309,0,0,1
W,0.189,0.345,0.483,0.463,0.322,0,0,1
W,0.149,0.374,0.478,0.46,0.328,0,0,1
W,0.163,0.364,0.501,0.451,0.281,0,0,1
W,0.181,0.343,0.473,0.453,0.31,0,0,1
W,0.183,0.355,0.499,0.464,0.322,0,0,1
W,0.176,0.301,0.51,0.465,0.324,0,0,1
W,0.177,0.372,0.471,0.464,0.334,0,0,1
W,0.185,0.372,0.495,0.459,0.293,0,0,1
W,0.166,0.367,0.492,0.459,0.236,0,0,1
W,0.168,0.357,0.481,0.477,0.328,0,0,1
W,0.172,0.357,0.492,0.442,0.331,0,0,1
W,0.166,0.348,0.487,0.478,0.304,0,0,1
W,0.179,0.387,0.484,0.444,0.348,0,0,1
W,0.181,0.359,0.503,0.457,0.327,0,0,1
W,0.167,0.352,0.497,0.448,0.331,0,0,1
W,0.189,0.359,0.503,0.477,0.297,0,0,1
W,0.168,0.367,0.496,0.447,0.351,0,0,1
W,0.177,0.352,0.495,0.468,0.301,0,0,1
W,0.156,0.365,0.482,0.464,0.323,0,0,1
W,0.179,0.352,0.503,0.476,0.298,0,0,1
W,0.175,0.337,0.485,0.466,0.328,0,0,1
W,0.164,0.343,0.473,0.475,0.338,0,0,1
W,0.168,0.36,0.482,0.453,0.349,0,0,1
W,0.185,0.366,0.479,0.465,0.271,0,0,1
W,0.164,0.363,0.485,0.462,0.309,0,0,1
W,0.164,0.362,0.47,0.466,0.3,0,0,1
W,0.168,0.365,0.491,0.454,0.341,0,0,1
W,0.164,0.36,0.479,0.475,0.35,0,0,1
W,0.189,0.344,0.482,0.469,0.281,0,0,1
