Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
X,0.181,0.199,0.073,0.205,0.114,0,0,0
X,0.21,0.219,0.103,0.189,0.135,0,0,0
X,0.177,0.168,0.107,0.207,0.127,0,0,0
X,0.204,0.168,0.11,0.203,0.094,0,0,0
X,0.205,0.182,0.081,0.226,0.121,0,0,0
X,0.189,0.194,0.106,0.197,0.116,0,0,0
X,0.214,0.218,0.092,0.202,0.077,0,0,0
X,0.202,0.206,0.077,0.209,0.103,0,0,0
X,0.191,0.231,0.089,0.209,0.134,0,0,0
X,0.193,0.254,0.094,0.193,0.07,0,0,0
X,0.212,0.18,0.141,0.215,0.129,0,0,0
X,0.226,0.181,0.131,0.18,0.09,0,0,0
X,0.21,0.219,0.109,0.197,0.077,0,0,0
X,0.219,0.193,0.117,0.234,0.106,0,0,0
X,0.235,0.233,0.139,0.193,0.1,0,0,0
X,0.201,0.214,0.116,0.176,0.12,0,0,0
X,0.191,0.236,0.103,0.193,0.114,0,0,0
X,0.232,0.243,0.098,0.189,0.105,0,0,0
X,0.197,0.206,0.128,0.204,0.118,0,0,0
X,0.223,0.218,0.089,0.21,0.13,0,0,0
X,0.193,0.295,0.123,0.197,0.099,0,0,0
X,0.245,0.26,0.078,0.205,0.094,0,0,0
X,0.214,0.239,0.122,0.245,0.091,0,0,0
X,0.225,0.259,0.094,0.178,0.129,0,0,0
X,0.243,0.249,0.103,0.171,0.114,0,0,0
X,0.193,0.253,0.118,0.217,0.12,0,0,0
X,0.215,0.241,0.122,0.209,0.12,0,0,0
X,0.234,0.259,0.116,0.172,0.092,0,0,0
X,0.211,0.334,0.118,0.189,0.117,0,0,0
X,0.228,0.226,0.103,0.205,0.106,0,0,0
X,0.23,0.31,0.123,0.218,0.117,0,0,0
X,0.222,0.258,0.141,0.189,0.121,0,0,0
X,0.224,0.256,0.12,0.168,0.125,0,0,0
X,0.237,0.191,0.099,0.206,0.109,0,0,0
X,0.237,0.226,0.136,0.199,0.117,0,0,0
X,0.24,0.255,0.106,0.185,0.112,0,0,0
X,0.243,0.2,0.106,0.206,0.127,0,0,0
X,0.225,0.225,0.112,0.204,0.127,0,0,0
X,0.231,0.245,0.122,0.205,0.11,0,0,0
X,0.196,0.229,0.135,0.177,0.126,0,0,0
X,0.226,0.232,0.106,0.231,0.118,0,0,0
X,0.24,0.227,0.103,0.214,0.141,0,0,0
X,0.202,0.17,0.117,0.206,0.119,0,0,0
X,0.249,0.219,0.11,0.23,0.11,0,0,0
X,0.219,0.197,0.112,0.21,0.147,0,0,0
X,0.255,0.228,0.114,0.207,0.13,0,0,0
X,0.246,0.198,0.129,0.206,0.131,0,0,0
X,0.23,0.219,0.149,0.214,0.127,0,0,0
X,0.262,0.216,0.117,0.176,0.1,0,0,0
X,0.255,0.252,0.139,0.263,0.113,0,0,0
X,0.251,0.268,0.131,0.211,0.14,0,0,0
X,0.23,0.259,0.129,0.199,0.098,0,0,0
X,0.257,0.233,0.125,0.214,0.102,0,0,0
X,0.247,0.245,0.127,0.222,0.143,0,0,0
X,0.235,0.201,0.133,0.189,0.122,0,0,0
X,0.264,0.219,0.135,0.23,0.109,0,0,0
X,0.246,0.185,0.136,0.185,0.118,0,0,0
X,0.239,0.169,0.143,0.193,0.124,0,0,0
X,0.253,0.185,0.125,0.218,0.141,0,0,0
X,0.253,0.193,0.111,0.189,0.121,0,0,0
X,0.239,0.197,0.118,0.21,0.135,0,0,0
X,0.219,0.184,0.139,0.211,0.131,0,0,0
X,0.241,0.217,0.13,0.182,0.116,0,0,0
X,0.207,0.185,0.136,0.21,0.107,0,0,0
X,0.231,0.199,0.1,0.202,0.129,0,0,0
X,0.265,0.219,0.134,0.183,0.142,0,0,0
X,0.267,0.168,0.11,0.185,0.118,0,0,0
X,0.24,0.168,0.112,0.193,0.128,0,0,0
X,0.256,0.182,0.103,0.202,0.116,0,0,0
X,0.237,0.194,0.155,0.225,0.151,0,0,0
X,0.22,0.218,0.142,0.226,0.142,0,0,0
X,0.242,0.206,0.142,0.226,0.127,0,0,0
X,0.232,0.231,0.125,0.193,0.143,0,0,0
X,0.227,0.254,0.151,0.229,0.118,0,0,0
X,0.228,0.18,0.147,0.205,0.143,0,0,0
X,0.235,0.181,0.116,0.211,0.114,0,0,0
X,0.246,0.219,0.127,0.207,0.116,0,0,0
X,0.249,0.193,0.121,0.219,0.118,0,0,0
X,0.28,0.233,0.118,0.193,0.144,0,0,0
X,0.243,0.214,0.116,0.218,0.143,0,0,0
X,0.24,0.236,0.168,0.181,0.13,0,0,0
X,0.223,0.243,0.134,0.219,0.123,0,0,0
X,0.253,0.206,0.142,0.222,0.123,0,0,0
X,0.256,0.218,0.116,0.19,0.127,0,0,0
X,0.247,0.295,0.125,0.207,0.14,0,0,0
X,0.245,0.26,0.116,0.212,0.123,0,0,0
