Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
Y,0.49,0.121,0.154,0.298,0.4,0,1,0
Y,0.492,0.135,0.147,0.288,0.392,0,1,0
Y,0.494,0.127,0.181,0.277,0.387,0,1,0
Y,0.479,0.138,0.155,0.285,0.392,0,1,0
Y,0.502,0.127,0.159,0.285,0.401,0,1,0
Y,0.503,0.131,0.154,0.282,0.41,0,1,0
Y,0.475,0.146,0.16,0.275,0.412,0,1,0
Y,0.519,0.129,0.175,0.279,0.409,0,1,0
Y,0.485,0.136,0.181,0.288,0.425,0,1,0
Y,0.488,0.133,0.164,0.269,0.412,0,1,0
Y,0.45,0.142,0.172,0.283,0.412,0,1,0
Y,0.45,0.142,0.144,0.307,0.412,0,1,0
Y,0.427,0.133,0.153,0.262,0.432,0,1,0
Y,0.437,0.131,0.154,0.271,0.436,0,1,0
Y,0.422,0.123,0.144,0.279,0.385,0,1,0
Y,0.412,0.136,0.154,0.271,0.412,0,1,0
Y,0.4,0.139,0.184,0.26,0.41,0,1,0
Y,0.428,0.12,0.176,0.277,0.4,0,1,0
Y,0.408,0.142,0.18,0.271,0.376,0,1,0
Y,0.412,0.14,0.16,0.27,0.389,0,1,0
Y,0.405,0.139,0.166,0.246,0.397,0,1,0
Y,0.422,0.141,0.144,0.293,0.379,0,1,0
Y,0.428,0.122,0.198,0.289,0.392,0,1,0
Y,0.397,0.13,0.181,0.291,0.409,0,1,0
Y,0.392,0.123,0.176,0.273,0.391,0,1,0
Y,0.427,0.142,0.168,0.256,0.376,0,1,0
Y,0.434,0.125,0.176,0.265,0.375,0,1,0
Y,0.412,0.127,0.204,0.271,0.383,0,1,0
Y,0.43,0.112,0.173,0.258,0.381,0,1,0
Y,0.401,0.103,0.165,0.301,0.403,0,1,0
Y,0.405,0.107,0.152,0.28,0.384,0,1,0
Y,0.437,0.114,0.181,0.28,0.398,0,1,0
Y,0.401,0.123,0.192,0.273,0.425,0,1,0
Y,0.412,0.068,0.163,0.298,0.381,0,1,0
Y,0.361,0.11,0.182,0.293,0.411,0,1,0
Y,0.412,0.114,0.185,0.278,0.437,0,1,0
Y,0.392,0.116,0.142,0.286,0.375,0,1,0
Y,0.43,0.098,0.168,0.297,0.388,0,1,0
Y,0.4,0.103,0.185,0.302,0.412,0,1,0
Y,0.423,0.134,0.160,0.309,0.430,0,1,0
Y,0.396,0.116,0.184,0.309,0.392,0,1,0
Y,0.392,0.096,0.169,0.263,0.404,0,1,0
Y,0.374,0.090,0.166,0.284,0.390,0,1,0
Y,0.427,0.093,0.186,0.297,0.381,0,1,0
Y,0.412,0.123,0.171,0.297,0.401,0,1,0
Y,0.396,0.124,0.186,0.272,0.401,0,1,0
Y,0.405,0.116,0.201,0.289,0.392,0,1,0
Y,0.425,0.119,0.193,0.271,0.411,0,1,0
Y,0.375,0.112,0.193,0.268,0.402,0,1,0
Y,0.412,0.102,0.193,0.259,0.392,0,1,0
Y,0.370,0.105,0.193,0.299,0.400,0,1,0
Y,0.409,0.098,0.178,0.280,0.425,0,1,0
Y,0.425,0.117,0.185,0.295,0.409,0,1,0
Y,0.421,0.093,0.177,0.282,0.389,0,1,0
Y,0.436,0.118,0.201,0.299,0.380,0,1,0
Y,0.411,0.114,0.158,0.235,0.410,0,1,0
Y,0.425,0.128,0.178,0.276,0.363,0,1,0
Y,0.408,0.131,0.214,0.299,0.397,0,1,0
Y,0.407,0.121,0.163,0.297,0.372,0,1,0
Y,0.386,0.135,0.207,0.271,0.374,0,1,0
Y,0.425,0.127,0.191,0.302,0.378,0,1,0
Y,0.425,0.138,0.195,0.268,0.374,0,1,0
Y,0.388,0.127,0.166,0.313,0.374,0,1,0
Y,0.400,0.131,0.206,0.281,0.360,0,1,0
Y,0.383,0.146,0.198,0.304,0.388,0,1,0
Y,0.396,0.129,0.178,0.276,0.370,0,1,0
Y,0.376,0.136,0.202,0.292,0.382,0,1,0
