Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
B,0.135,0.323,0.426,0.466,0.364,1,0,1
B,0.138,0.328,0.435,0.467,0.339,0,0,0
B,0.098,0.347,0.464,0.476,0.363,1,0,1
B,0.121,0.337,0.449,0.488,0.361,0,0,1
B,0.116,0.361,0.438,0.486,0.361,1,0,1
B,0.138,0.346,0.412,0.468,0.337,0,0,1
B,0.130,0.372,0.464,0.465,0.361,0,0,0
B,0.143,0.386,0.426,0.489,0.342,1,0,1
B,0.118,0.363,0.437,0.467,0.351,0,0,1
B,0.118,0.356,0.438,0.463,0.348,1,0,1
B,0.131,0.361,0.444,0.459,0.353,0,0,1
B,0.145,0.362,0.430,0.496,0.359,0,0,1
B,0.123,0.341,0.426,0.483,0.352,0,0,0
B,0.153,0.355,0.453,0.474,0.348,0,0,1
B,0.131,0.374,0.444,0.492,0.348,1,0,1
B,0.127,0.363,0.430,0.476,0.322,0,0,1
B,0.141,0.348,0.439,0.477,0.331,0,0,1
B,0.140,0.361,0.467,0.467,0.338,1,0,1
B,0.133,0.363,0.451,0.469,0.342,1,0,1
B,0.116,0.346,0.464,0.472,0.347,1,0,1
B,0.142,0.356,0.437,0.486,0.330,1,0,1
B,0.136,0.368,0.427,0.496,0.325,1,0,1
B,0.143,0.372,0.428,0.481,0.334,1,0,1
B,0.132,0.369,0.451,0.494,0.338,1,0,1
B,0.112,0.374,0.464,0.471,0.348,1,0,1
B,0.090,0.374,0.454,0.491,0.340,1,0,1
B,0.107,0.348,0.431,0.505,0.338,1,0,1
B,0.127,0.348,0.459,0.477,0.344,1,0,1
B,0.122,0.354,0.467,0.475,0.341,1,0,1
B,0.103,0.365,0.477,0.482,0.322,1,0,1
B,0.098,0.347,0.471,0.478,0.358,1,0,1
B,0.103,0.355,0.430,0.477,0.334,1,0,1
B,0.103,0.373,0.451,0.469,0.348,1,0,1
B,0.116,0.361,0.443,0.493,0.336,1,0,1
B,0.112,0.355,0.446,0.474,0.323,1,0,1
B,0.129,0.379,0.475,0.463,0.333,1,0,1
B,0.111,0.348,0.425,0.503,0.339,1,0,1
B,0.116,0.374,0.452,0.501,0.342,1,0,1
B,0.103,0.351,0.439,0.475,0.331,0,0,0
B,0.107,0.353,0.446,0.513,0.318,0,0,0
B,0.103,0.361,0.442,0.491,0.330,0,0,1
B,0.114,0.374,0.426,0.491,0.322,0,0,1
B,0.108,0.370,0.477,0.467,0.338,0,0,0
B,0.116,0.374,0.477,0.490,0.322,0,0,1
B,0.118,0.384,0.449,0.508,0.319,0,0,1
B,0.125,0.355,0.459,0.500,0.344,0,0,1
B,0.129,0.344,0.488,0.475,0.347,0,0,1
B,0.116,0.367,0.452,0.482,0.324,0,0,1
B,0.103,0.380,0.472,0.475,0.343,1,0,1
