Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
C,0.193,0.118,0.168,0.252,0.127,1,1,0
C,0.191,0.124,0.176,0.248,0.125,0,0,0
C,0.208,0.129,0.181,0.247,0.127,1,1,0
C,0.195,0.131,0.181,0.247,0.125,1,1,0
C,0.218,0.129,0.183,0.249,0.131,1,1,0
C,0.234,0.136,0.186,0.250,0.130,1,1,0
C,0.229,0.135,0.199,0.251,0.127,1,1,0
C,0.218,0.133,0.205,0.251,0.132,1,1,0
C,0.243,0.129,0.206,0.250,0.137,1,1,0
C,0.205,0.149,0.212,0.236,0.120,0,0,0
C,0.218,0.172,0.206,0.210,0.142,0,0,0
C,0.231,0.168,0.205,0.217,0.143,0,0,0
C,0.225,0.169,0.201,0.214,0.143,0,0,0
C,0.244,0.146,0.238,0.245,0.172,1,1,0
C,0.271,0.181,0.239,0.254,0.185,1,1,0
C,0.276,0.181,0.245,0.245,0.173,0,0,0
C,0.280,0.184,0.260,0.243,0.176,1,1,0
C,0.290,0.188,0.267,0.247,0.180,1,1,0
C,0.291,0.191,0.271,0.245,0.180,1,1,0
C,0.286,0.189,0.278,0.246,0.180,1,1,0
C,0.251,0.188,0.281,0.245,0.179,1,1,0
C,0.249,0.189,0.251,0.229,0.162,0,0,0
C,0.259,0.189,0.262,0.236,0.168,0,0,0
C,0.266,0.191,0.264,0.239,0.168,0,0,0
C,0.264,0.193,0.265,0.242,0.168,0,0,0
C,0.271,0.193,0.269,0.245,0.168,0,0,0
C,0.272,0.193,0.271,0.247,0.170,0,0,0
C,0.276,0.193,0.271,0.246,0.168,0,0,0
C,0.272,0.195,0.271,0.245,0.173,0,0,0
C,0.272,0.193,0.271,0.245,0.172,0,0,0
C,0.271,0.201,0.267,0.245,0.172,0,0,0
C,0.240,0.196,0.276,0.247,0.179,0,0,0
C,0.255,0.195,0.276,0.249,0.181,0,1,0
C,0.258,0.199,0.272,0.251,0.181,0,1,0
C,0.259,0.201,0.276,0.247,0.183,0,1,0
C,0.264,0.202,0.276,0.245,0.186,0,1,0
C,0.267,0.207,0.276,0.243,0.163,0,1,0
C,0.272,0.205,0.284,0.245,0.172,0,0,0
C,0.273,0.206,0.286,0.249,0.172,0,0,0
C,0.206,0.172,0.237,0.235,0.179,1,0,0
C,0.208,0.175,0.245,0.235,0.178,1,0,0
C,0.213,0.179,0.244,0.238,0.178,1,0,0
C,0.220,0.178,0.234,0.239,0.176,1,0,0
C,0.230,0.180,0.243,0.243,0.175,1,0,0
C,0.225,0.181,0.245,0.242,0.181,1,0,0
C,0.230,0.179,0.250,0.237,0.179,1,0,0
C,0.230,0.180,0.251,0.243,0.181,1,0,0
C,0.234,0.181,0.254,0.243,0.179,1,0,0
C,0.234,0.181,0.247,0.237,0.179,1,0,0
C,0.234,0.183,0.251,0.238,0.179,1,0,0
C,0.241,0.185,0.253,0.240,0.184,1,0,0
C,0.201,0.197,0.276,0.250,0.168,0,0,0
C,0.212,0.193,0.287,0.258,0.176,0,0,0
C,0.219,0.195,0.286,0.262,0.181,0,0,0
C,0.214,0.170,0.252,0.239,0.156,0,1,0
C,0.223,0.175,0.259,0.241,0.159,0,1,0
C,0.223,0.179,0.262,0.239,0.164,1,1,0
C,0.215,0.185,0.259,0.246,0.162,1,1,0
C,0.216,0.189,0.263,0.251,0.165,1,0,0
C,0.217,0.189,0.268,0.255,0.165,1,0,0
C,0.220,0.189,0.268,0.252,0.165,1,0,0
C,0.230,0.193,0.269,0.258,0.168,1,0,0
C,0.231,0.191,0.271,0.256,0.168,1,0,0
C,0.230,0.191,0.271,0.256,0.168,1,0,0
C,0.238,0.193,0.270,0.254,0.169,1,0,0
C,0.236,0.194,0.271,0.256,0.168,1,1,0
C,0.243,0.193,0.272,0.259,0.169,1,1,0
C,0.237,0.192,0.272,0.258,0.168,1,1,0
C,0.237,0.193,0.272,0.256,0.168,1,1,0
C,0.244,0.193,0.275,0.258,0.168,1,1,0
C,0.240,0.192,0.275,0.255,0.168,1,1,0
C,0.242,0.193,0.273,0.259,0.168,1,1,0
C,0.246,0.193,0.275,0.259,0.168,1,1,0
C,0.241,0.193,0.278,0.259,0.170,1,1,0j
C,0.245,0.193,0.276,0.258,0.168,1,1,0
C,0.245,0.194,0.275,0.259,0.168,1,1,0
C,0.245,0.193,0.276,0.258,0.168,1,1,0
C,0.246,0.194,0.274,0.258,0.169,1,1,0
