Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
E,0.064,0.039,0.139,0.204,0.106,1,1,1
E,0.103,0.050,0.160,0.189,0.116,1,1,1
E,0.085,0.072,0.156,0.177,0.109,1,1,1
E,0.090,0.068,0.138,0.193,0.118,1,1,1
E,0.105,0.052,0.147,0.196,0.115,1,1,1
E,0.104,0.059,0.147,0.168,0.116,1,1,1
E,0.103,0.076,0.159,0.217,0.112,1,1,1
E,0.109,0.064,0.168,0.210,0.116,1,1,1
E,0.081,0.073,0.142,0.180,0.109,1,1,1
E,0.067,0.052,0.094,0.189,0.100,1,0,0
E,0.080,0.060,0.123,0.140,0.151,1,1,0
E,0.086,0.044,0.119,0.172,0.122,1,1,0
E,0.091,0.039,0.112,0.142,0.112,1,1,1
E,0.085,0.048,0.125,0.145,0.135,1,1,1
E,0.100,0.043,0.136,0.179,0.116,1,1,1
E,0.082,0.065,0.135,0.142,0.117,1,1,1
E,0.115,0.067,0.116,0.139,0.126,1,1,1
E,0.095,0.052,0.123,0.168,0.127,1,1,1
E,0.106,0.064,0.140,0.159,0.118,1,1,1
E,0.123,0.070,0.127,0.172,0.111,1,1,1
E,0.103,0.042,0.133,0.143,0.114,1,1,1
E,0.094,0.044,0.128,0.160,0.124,1,1,1
E,0.098,0.055,0.147,0.142,0.116,1,1,1
E,0.109,0.064,0.116,0.147,0.108,1,1,1
E,0.128,0.060,0.123,0.160,0.116,1,1,1
E,0.116,0.054,0.142,0.143,0.116,1,1,1
E,0.108,0.046,0.133,0.154,0.121,1,1,1
E,0.111,0.057,0.155,0.155,0.123,1,1,1
E,0.112,0.059,0.109,0.194,0.118,1,1,1
E,0.102,0.077,0.131,0.217,0.106,1,1,1
E,0.092,0.095,0.149,0.195,0.084,1,1,1
E,0.103,0.092,0.130,0.181,0.090,1,1,1
E,0.077,0.090,0.149,0.198,0.083,1,1,0
E,0.100,0.096,0.168,0.176,0.086,1,1,1
E,0.105,0.089,0.152,0.214,0.056,1,1,1
E,0.122,0.064,0.170,0.209,0.068,1,1,1
E,0.156,0.089,0.162,0.226,0.052,1,1,0
E,0.158,0.080,0.179,0.222,0.062,1,1,0
E,0.117,0.072,0.156,0.210,0.059,1,1,0
E,0.142,0.087,0.146,0.197,0.065,1,1,0
E,0.116,0.065,0.165,0.193,0.092,1,1,0
E,0.129,0.079,0.131,0.193,0.076,1,1,0
E,0.137,0.091,0.173,0.165,0.088,1,1,0
E,0.133,0.080,0.167,0.212,0.070,1,1,0
E,0.125,0.087,0.176,0.175,0.096,1,1,0
E,0.064,0.052,0.143,0.173,0.082,1,1,0
E,0.064,0.070,0.142,0.167,0.067,1,1,0
E,0.096,0.089,0.144,0.168,0.083,1,1,0
E,0.111,0.090,0.155,0.155,0.098,1,1,0
E,0.118,0.103,0.162,0.201,0.102,1,1,0
E,0.109,0.086,0.154,0.165,0.079,1,1,0
E,0.118,0.103,0.193,0.180,0.094,1,1,0
E,0.098,0.096,0.165,0.172,0.085,1,1,0
E,0.116,0.081,0.159,0.160,0.099,1,1,0
E,0.118,0.114,0.168,0.173,0.080,1,1,0
E,0.143,0.095,0.164,0.202,0.077,1,1,0
E,0.122,0.106,0.171,0.180,0.090,1,1,0
E,0.116,0.093,0.168,0.194,0.080,1,1,0
E,0.117,0.074,0.168,0.193,0.090,1,1,0
E,0.126,0.103,0.151,0.207,0.098,1,1,1
E,0.116,0.083,0.176,0.206,0.093,1,1,1
E,0.123,0.081,0.164,0.220,0.091,1,1,1
E,0.112,0.104,0.156,0.196,0.086,1,1,1
E,0.143,0.093,0.168,0.218,0.101,1,1,1
E,0.116,0.092,0.193,0.228,0.077,1,1,1
E,0.129,0.094,0.165,0.181,0.096,1,1,1
E,0.142,0.088,0.170,0.214,0.086,1,1,1
E,0.099,0.067,0.155,0.204,0.079,1,1,0
E,0.098,0.080,0.164,0.207,0.057,1,1,1
E,0.106,0.081,0.168,0.226,0.072,1,1,1
E,0.100,0.077,0.164,0.239,0.091,1,1,1
E,0.142,0.072,0.179,0.213,0.085,0,1,1
