Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
F,0.477,0.249,0.492,0.470,0.351,1,0,1
F,0.450,0.219,0.486,0.449,0.352,1,0,1
F,0.464,0.206,0.508,0.435,0.330,1,0,1
F,0.473,0.211,0.478,0.444,0.354,1,0,1
F,0.477,0.256,0.504,0.477,0.362,1,0,1
F,0.431,0.222,0.472,0.464,0.352,1,0,1
F,0.256,0.212,0.469,0.459,0.368,1,0,1
F,0.472,0.360,0.488,0.466,0.351,1,0,1
F,0.447,0.340,0.488,0.457,0.346,1,0,1
F,0.408,0.360,0.493,0.449,0.357,1,0,1
F,0.442,0.330,0.498,0.455,0.338,1,0,1
F,0.444,0.309,0.489,0.451,0.361,1,0,1
F,0.459,0.310,0.529,0.479,0.370,1,0,1
F,0.455,0.354,0.488,0.441,0.361,1,0,1
F,0.430,0.356,0.496,0.462,0.363,1,0,1
F,0.462,0.353,0.486,0.464,0.344,1,0,1
F,0.469,0.347,0.477,0.464,0.334,1,0,1
F,0.455,0.347,0.521,0.474,0.365,1,0,1
F,0.425,0.322,0.529,0.431,0.361,1,0,1
F,0.447,0.334,0.542,0.459,0.348,1,0,1
F,0.464,0.341,0.491,0.444,0.369,1,0,1
F,0.427,0.330,0.504,0.466,0.357,1,0,1
F,0.448,0.323,0.488,0.477,0.349,1,0,1
F,0.457,0.359,0.494,0.464,0.362,1,0,1
F,0.447,0.363,0.489,0.473,0.374,1,0,1
F,0.431,0.361,0.505,0.451,0.356,1,0,1
F,0.459,0.353,0.521,0.452,0.352,1,0,1
F,0.470,0.348,0.527,0.443,0.336,1,0,1
F,0.457,0.354,0.504,0.484,0.359,1,0,1
F,0.477,0.350,0.536,0.461,0.361,1,0,1
F,0.438,0.325,0.490,0.483,0.352,1,0,1
F,0.475,0.322,0.503,0.468,0.335,1,0,1
F,0.464,0.359,0.520,0.443,0.361,1,0,1
F,0.451,0.348,0.503,0.443,0.352,1,0,1
F,0.446,0.342,0.539,0.470,0.347,1,0,1
F,0.430,0.326,0.508,0.442,0.348,1,0,1
F,0.434,0.356,0.525,0.477,0.337,1,0,1
F,0.421,0.325,0.499,0.459,0.320,1,0,1
F,0.470,0.343,0.536,0.476,0.362,1,0,1
F,0.479,0.351,0.528,0.465,0.322,1,0,1
F,0.463,0.361,0.533,0.475,0.355,1,0,1
F,0.464,0.348,0.509,0.477,0.353,1,0,1
F,0.434,0.326,0.503,0.459,0.363,1,0,1
F,0.477,0.335,0.524,0.441,0.350,1,0,1
F,0.439,0.326,0.504,0.451,0.357,1,0,1
F,0.464,0.335,0.510,0.450,0.335,1,0,1
F,0.465,0.345,0.512,0.459,0.338,1,0,1
F,0.440,0.338,0.515,0.471,0.342,1,0,1
F,0.443,0.358,0.513,0.469,0.357,1,0,1
