Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
G,0.381,0.337,0.107,0.150,0.081,1,0,0
G,0.386,0.336,0.106,0.145,0.084,1,1,0
G,0.392,0.340,0.104,0.156,0.080,1,0,0
G,0.394,0.345,0.113,0.159,0.077,1,1,0
G,0.410,0.334,0.144,0.143,0.080,1,0,0
G,0.406,0.347,0.116,0.143,0.086,1,0,0
G,0.400,0.348,0.118,0.156,0.090,1,0,0
G,0.412,0.336,0.118,0.156,0.083,1,0,0
G,0.411,0.341,0.112,0.152,0.085,1,1,0
G,0.398,0.341,0.115,0.168,0.080,1,0,0
G,0.405,0.334,0.103,0.142,0.065,1,1,0
G,0.380,0.347,0.118,0.142,0.085,0,0,0
G,0.412,0.335,0.104,0.143,0.064,0,0,0
G,0.365,0.334,0.093,0.152,0.071,1,0,0
G,0.402,0.349,0.114,0.159,0.071,1,0,0
G,0.395,0.352,0.115,0.143,0.079,0,1,0
G,0.402,0.346,0.116,0.155,0.073,0,1,0
G,0.381,0.344,0.103,0.131,0.073,0,1,0
G,0.409,0.346,0.125,0.121,0.083,0,1,0
G,0.421,0.347,0.114,0.130,0.093,0,1,0
G,0.412,0.338,0.134,0.142,0.098,0,1,0
G,0.402,0.339,0.115,0.155,0.077,0,1,0
G,0.402,0.338,0.116,0.147,0.089,0,1,0
G,0.435,0.348,0.116,0.142,0.090,0,0,0
G,0.406,0.344,0.118,0.147,0.096,0,1,0
G,0.400,0.347,0.111,0.142,0.087,1,1,0
G,0.409,0.337,0.118,0.164,0.085,0,0,0
G,0.400,0.357,0.116,0.143,0.088,0,1,0
G,0.405,0.325,0.141,0.145,0.081,0,0,0
G,0.410,0.342,0.162,0.125,0.064,0,1,0
G,0.405,0.342,0.112,0.156,0.081,0,0,0
G,0.401,0.323,0.127,0.166,0.091,1,0,0
G,0.412,0.338,0.116,0.137,0.091,1,0,0
G,0.404,0.334,0.117,0.135,0.091,1,0,0
G,0.389,0.344,0.118,0.140,0.091,1,0,0
G,0.391,0.351,0.125,0.142,0.091,1,0,0
G,0.400,0.332,0.123,0.142,0.087,1,1,0
G,0.404,0.342,0.100,0.166,0.106,0,1,0
G,0.412,0.327,0.137,0.138,0.082,0,1,0
G,0.410,0.353,0.129,0.162,0.093,0,1,0
G,0.400,0.365,0.118,0.156,0.112,0,1,0
G,0.433,0.338,0.135,0.143,0.075,0,1,0
G,0.443,0.330,0.117,0.163,0.086,0,1,0
G,0.391,0.335,0.150,0.170,0.074,0,1,0
G,0.412,0.349,0.120,0.136,0.099,0,0,0
G,0.431,0.327,0.127,0.152,0.083,0,0,0
G,0.454,0.333,0.114,0.166,0.111,0,0,0
G,0.392,0.374,0.139,0.146,0.068,0,1,0
G,0.374,0.353,0.142,0.143,0.064,0,1,0
