Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
H,0.075,0.366,0.504,0.335,0.077,0,0,1
H,0.076,0.382,0.523,0.232,0.056,0,0,1
H,0.090,0.399,0.528,0.193,0.073,0,0,1
H,0.105,0.401,0.512,0.276,0.072,0,0,1
H,0.114,0.386,0.533,0.361,0.093,0,0,1
H,0.112,0.374,0.529,0.298,0.066,0,0,1
H,0.103,0.387,0.510,0.266,0.087,0,0,1
H,0.105,0.398,0.504,0.218,0.072,0,0,1
H,0.093,0.389,0.517,0.256,0.070,0,0,1
H,0.106,0.396,0.501,0.228,0.085,0,0,1
H,0.121,0.388,0.528,0.226,0.078,0,0,1
H,0.102,0.378,0.516,0.253,0.085,0,0,1
H,0.111,0.394,0.516,0.255,0.090,0,0,1
H,0.103,0.379,0.520,0.258,0.065,0,0,1
H,0.132,0.389,0.511,0.217,0.072,0,0,1
H,0.116,0.405,0.518,0.279,0.069,0,0,1
H,0.118,0.396,0.518,0.173,0.102,0,0,1
H,0.124,0.377,0.503,0.285,0.077,0,0,1
H,0.106,0.363,0.529,0.237,0.099,0,0,1
H,0.116,0.367,0.528,0.236,0.078,0,0,1
H,0.116,0.376,0.515,0.200,0.092,0,0,1
H,0.116,0.374,0.533,0.209,0.081,0,0,1
H,0.131,0.379,0.513,0.271,0.086,0,0,1
H,0.135,0.383,0.527,0.151,0.089,0,0,1
H,0.130,0.365,0.508,0.268,0.078,0,0,1
H,0.121,0.375,0.511,0.236,0.086,0,0,1
H,0.119,0.365,0.507,0.255,0.089,0,0,1
H,0.116,0.365,0.490,0.254,0.083,0,0,1
H,0.127,0.378,0.512,0.258,0.097,0,0,1
H,0.141,0.355,0.526,0.261,0.081,0,0,1
H,0.103,0.380,0.507,0.260,0.077,0,0,1
H,0.127,0.374,0.515,0.294,0.068,0,0,1
H,0.137,0.387,0.505,0.310,0.073,0,0,1
H,0.105,0.386,0.529,0.273,0.086,0,0,1
H,0.120,0.391,0.526,0.245,0.093,0,0,1
H,0.123,0.372,0.525,0.267,0.096,0,0,1
H,0.131,0.379,0.503,0.245,0.100,0,0,1
H,0.135,0.365,0.503,0.330,0.090,0,0,1
H,0.114,0.374,0.469,0.297,0.082,0,0,1
H,0.116,0.401,0.489,0.271,0.077,0,0,1
H,0.120,0.361,0.495,0.199,0.102,0,0,1
H,0.126,0.359,0.523,0.259,0.102,0,0,1
H,0.106,0.385,0.518,0.264,0.061,0,0,1
H,0.138,0.342,0.527,0.168,0.123,0,0,1
H,0.115,0.362,0.521,0.262,0.106,0,0,1
H,0.134,0.365,0.497,0.279,0.073,0,0,1
H,0.136,0.361,0.506,0.206,0.099,0,0,1
H,0.122,0.380,0.499,0.297,0.110,0,0,1
H,0.100,0.359,0.504,0.267,0.090,0,0,1
