Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
I,0.120,0.108,0.197,0.254,0.332,1,1,1
I,0.127,0.144,0.197,0.247,0.348,1,1,1
I,0.147,0.120,0.204,0.253,0.348,1,1,1
I,0.141,0.116,0.193,0.255,0.351,1,1,1
I,0.129,0.104,0.212,0.245,0.341,1,1,1
I,0.118,0.111,0.189,0.243,0.320,1,1,1
I,0.120,0.125,0.205,0.258,0.333,1,1,1
I,0.142,0.133,0.181,0.258,0.347,1,1,1
I,0.156,0.128,0.189,0.249,0.342,1,1,1
I,0.147,0.142,0.189,0.233,0.333,1,1,1
I,0.122,0.136,0.193,0.241,0.334,1,1,1
I,0.129,0.127,0.185,0.235,0.334,1,1,1
I,0.142,0.119,0.181,0.254,0.328,1,1,1
I,0.122,0.117,0.181,0.255,0.326,1,1,1
I,0.143,0.122,0.181,0.240,0.330,1,1,1
I,0.136,0.117,0.199,0.229,0.334,1,1,1
I,0.144,0.143,0.192,0.271,0.349,1,1,1
I,0.135,0.127,0.184,0.234,0.328,1,1,1
I,0.116,0.128,0.191,0.257,0.326,1,1,1
I,0.143,0.142,0.197,0.247,0.339,1,1,1
I,0.142,0.138,0.189,0.241,0.346,1,1,1
I,0.131,0.136,0.201,0.258,0.334,1,1,1
I,0.146,0.140,0.182,0.233,0.322,1,1,1
I,0.125,0.111,0.168,0.271,0.325,1,1,1
I,0.172,0.151,0.206,0.236,0.322,1,1,1
I,0.155,0.142,0.206,0.256,0.323,1,1,1
I,0.137,0.151,0.189,0.234,0.318,1,1,1
I,0.149,0.147,0.182,0.263,0.330,1,1,1
I,0.121,0.144,0.183,0.241,0.322,1,1,1
I,0.138,0.118,0.181,0.251,0.326,1,1,1
I,0.139,0.109,0.188,0.255,0.339,1,1,1
I,0.134,0.157,0.191,0.235,0.342,1,1,1
I,0.145,0.107,0.194,0.245,0.330,1,1,1
I,0.143,0.151,0.197,0.276,0.327,1,1,1
I,0.136,0.135,0.190,0.264,0.330,1,1,1
I,0.139,0.124,0.181,0.232,0.347,1,1,1
I,0.137,0.133,0.182,0.240,0.320,1,1,1
I,0.157,0.117,0.192,0.245,0.327,1,1,1
I,0.150,0.126,0.201,0.247,0.322,1,1,1
I,0.116,0.134,0.201,0.260,0.319,1,1,1
I,0.149,0.136,0.196,0.260,0.335,1,1,1
I,0.118,0.125,0.205,0.245,0.331,1,1,1
I,0.148,0.151,0.206,0.234,0.338,1,1,1
I,0.150,0.114,0.181,0.243,0.338,1,1,1
I,0.125,0.109,0.192,0.253,0.322,1,1,1
I,0.155,0.134,0.180,0.271,0.335,1,1,1
I,0.144,0.129,0.199,0.266,0.322,1,1,1
I,0.150,0.116,0.187,0.238,0.335,1,1,1
I,0.122,0.147,0.193,0.271,0.330,1,1,1
I,0.139,0.131,0.197,0.258,0.313,1,1,1
I,0.139,0.127,0.207,0.256,0.326,1,1,1
I,0.147,0.116,0.204,0.259,0.334,1,1,1
I,0.121,0.116,0.196,0.252,0.312,1,1,1
I,0.142,0.126,0.201,0.246,0.338,1,1,1
I,0.142,0.115,0.202,0.245,0.330,1,1,1
I,0.143,0.123,0.189,0.258,0.324,1,1,1
I,0.125,0.135,0.219,0.251,0.309,1,1,1
I,0.130,0.139,0.199,0.253,0.332,1,1,1
I,0.128,0.105,0.186,0.265,0.331,1,1,1
I,0.135,0.127,0.207,0.245,0.322,1,1,1
I,0.160,0.143,0.210,0.254,0.348,1,1,1
I,0.129,0.118,0.186,0.262,0.336,1,1,1
I,0.134,0.108,0.193,0.259,0.330,1,1,1
I,0.138,0.129,0.185,0.242,0.333,1,1,1
I,0.136,0.112,0.198,0.222,0.315,1,1,1
I,0.141,0.131,0.203,0.252,0.340,1,1,1
I,0.125,0.147,0.193,0.255,0.326,1,1,1
I,0.128,0.128,0.205,0.247,0.323,1,1,1
I,0.131,0.119,0.193,0.255,0.323,1,1,1
I,0.143,0.127,0.207,0.246,0.317,1,1,1
I,0.155,0.124,0.219,0.260,0.322,1,1,1
I,0.120,0.126,0.198,0.245,0.313,1,1,1
I,0.136,0.108,0.211,0.262,0.334,1,1,1
I,0.118,0.115,0.173,0.244,0.324,1,1,1
I,0.153,0.124,0.214,0.247,0.326,1,1,1
I,0.145,0.131,0.182,0.239,0.309,1,1,1
I,0.143,0.138,0.191,0.245,0.345,1,1,1
I,0.155,0.147,0.181,0.259,0.342,1,1,1
I,0.139,0.142,0.197,0.243,0.321,1,1,1
I,0.143,0.139,0.212,0.275,0.322,1,1,1
I,0.114,0.105,0.243,0.294,0.309,1,1,1
I,0.103,0.152,0.251,0.310,0.313,1,1,1
I,0.090,0.116,0.232,0.284,0.309,1,1,1
I,0.092,0.124,0.241,0.297,0.310,1,1,1
I,0.118,0.147,0.252,0.283,0.313,1,1,1
