Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
K,0.455,0.352,0.512,0.168,0.098,0,0,1
K,0.471,0.348,0.510,0.205,0.096,0,0,1
K,0.473,0.363,0.528,0.168,0.116,1,0,1
K,0.455,0.363,0.519,0.155,0.086,1,0,1
K,0.447,0.379,0.511,0.144,0.114,1,0,1
K,0.464,0.345,0.526,0.158,0.090,1,0,1
K,0.478,0.365,0.530,0.184,0.098,0,0,1
K,0.479,0.362,0.525,0.175,0.114,0,0,1
K,0.442,0.343,0.533,0.193,0.072,0,0,1
K,0.449,0.362,0.521,0.181,0.111,0,0,1
K,0.454,0.365,0.519,0.168,0.114,1,0,1
K,0.464,0.361,0.515,0.192,0.117,0,0,1
K,0.464,0.357,0.514,0.157,0.108,0,0,1
K,0.481,0.374,0.503,0.176,0.108,1,0,1
K,0.478,0.369,0.492,0.168,0.099,0,0,1
K,0.451,0.365,0.494,0.181,0.085,1,0,1
K,0.453,0.374,0.503,0.176,0.096,0,0,1
K,0.460,0.353,0.479,0.202,0.085,1,0,1
K,0.455,0.357,0.471,0.185,0.105,0,0,1
K,0.459,0.352,0.475,0.181,0.099,0,0,1
K,0.452,0.372,0.478,0.168,0.106,0,0,1
K,0.460,0.376,0.460,0.183,0.108,0,0,1
K,0.464,0.367,0.472,0.182,0.125,0,0,1
K,0.464,0.375,0.457,0.168,0.114,1,0,1
K,0.463,0.368,0.464,0.179,0.112,1,0,1
K,0.471,0.370,0.475,0.181,0.114,1,0,1
K,0.477,0.386,0.451,0.168,0.103,1,0,1
K,0.464,0.359,0.456,0.185,0.101,1,0,1
K,0.465,0.376,0.467,0.197,0.111,1,0,1
K,0.447,0.367,0.472,0.193,0.122,1,0,1
K,0.469,0.366,0.470,0.168,0.116,1,0,1
K,0.453,0.396,0.465,0.176,0.110,1,0,1
K,0.467,0.363,0.464,0.173,0.110,1,0,1
K,0.464,0.371,0.475,0.173,0.102,1,0,1
K,0.439,0.374,0.464,0.206,0.109,1,0,1
K,0.442,0.381,0.465,0.176,0.097,1,0,1
K,0.425,0.362,0.468,0.179,0.102,1,0,1
K,0.446,0.376,0.446,0.183,0.106,1,0,1
K,0.434,0.366,0.475,0.181,0.103,1,0,1
K,0.431,0.410,0.444,0.194,0.118,1,0,1
K,0.451,0.359,0.510,0.176,0.114,1,0,1
K,0.460,0.369,0.503,0.192,0.095,1,0,1
K,0.425,0.374,0.508,0.193,0.106,1,0,1
K,0.426,0.353,0.506,0.186,0.096,1,0,1
K,0.453,0.347,0.494,0.152,0.090,1,0,1
K,0.451,0.396,0.504,0.206,0.087,0,0,1
K,0.431,0.351,0.533,0.170,0.068,1,0,1
K,0.442,0.370,0.554,0.172,0.090,1,0,1
K,0.449,0.351,0.553,0.196,0.091,1,0,1
