Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
L,0.503,0.377,0.131,0.168,0.130,0,0,0
L,0.521,0.374,0.162,0.172,0.127,0,0,0
L,0.514,0.386,0.152,0.181,0.136,0,0,0
L,0.534,0.383,0.169,0.185,0.142,0,0,0
L,0.516,0.401,0.189,0.189,0.144,0,0,0
L,0.528,0.397,0.159,0.181,0.147,0,0,0
L,0.518,0.403,0.168,0.152,0.152,0,0,0
L,0.517,0.398,0.147,0.193,0.142,0,0,0
L,0.529,0.371,0.156,0.186,0.133,0,0,0
L,0.511,0.394,0.198,0.172,0.134,0,0,0
L,0.518,0.356,0.178,0.168,0.142,0,0,0
L,0.517,0.382,0.164,0.198,0.163,0,0,0
L,0.528,0.373,0.176,0.163,0.147,0,0,0
L,0.537,0.400,0.211,0.189,0.134,0,0,0
L,0.517,0.408,0.206,0.186,0.159,0,0,0
L,0.546,0.391,0.190,0.224,0.152,0,0,0
L,0.524,0.411,0.168,0.227,0.168,0,0,0
L,0.527,0.401,0.179,0.197,0.178,0,0,0
L,0.557,0.374,0.188,0.225,0.164,0,0,0
L,0.520,0.398,0.185,0.221,0.154,0,0,0
L,0.550,0.399,0.159,0.206,0.172,0,0,0
L,0.529,0.405,0.193,0.211,0.142,0,0,0
L,0.512,0.401,0.210,0.235,0.182,0,0,0
L,0.503,0.385,0.184,0.237,0.156,0,0,0
L,0.550,0.397,0.172,0.206,0.162,0,0,0
L,0.540,0.400,0.192,0.210,0.169,0,0,0
L,0.516,0.388,0.186,0.209,0.147,0,0,0
L,0.517,0.388,0.209,0.204,0.171,0,0,0
L,0.533,0.387,0.181,0.209,0.185,0,0,0
L,0.541,0.401,0.176,0.204,0.172,0,0,0
L,0.524,0.376,0.202,0.218,0.160,0,0,0
L,0.517,0.381,0.176,0.195,0.143,0,0,0
L,0.518,0.395,0.203,0.201,0.163,0,0,0
L,0.562,0.388,0.206,0.198,0.149,0,0,0
L,0.526,0.404,0.176,0.215,0.155,0,0,0
L,0.518,0.380,0.177,0.220,0.163,0,0,0
L,0.533,0.393,0.204,0.212,0.192,0,0,0
L,0.529,0.382,0.168,0.212,0.151,0,0,0
L,0.529,0.381,0.209,0.228,0.155,0,0,0
L,0.529,0.367,0.205,0.207,0.176,0,0,0
L,0.542,0.376,0.188,0.235,0.178,0,0,0
L,0.516,0.388,0.195,0.222,0.165,0,0,0
L,0.529,0.391,0.181,0.197,0.167,0,0,0
L,0.527,0.366,0.189,0.213,0.164,0,0,0
L,0.525,0.367,0.205,0.192,0.184,0,0,0
L,0.536,0.405,0.178,0.211,0.145,0,0,0
L,0.516,0.423,0.201,0.207,0.166,0,0,0
L,0.510,0.365,0.183,0.235,0.153,0,0,0
L,0.516,0.412,0.198,0.227,0.172,0,0,0
L,0.520,0.395,0.186,0.202,0.176,0,0,0
L,0.540,0.375,0.194,0.206,0.155,0,0,0
L,0.523,0.384,0.183,0.209,0.176,0,0,0
L,0.529,0.351,0.191,0.205,0.155,0,0,0
L,0.503,0.368,0.206,0.228,0.160,0,0,0
L,0.492,0.378,0.193,0.205,0.183,0,0,0
L,0.540,0.388,0.206,0.209,0.157,0,0,0
L,0.529,0.376,0.196,0.224,0.166,0,0,0
L,0.497,0.379,0.217,0.247,0.176,0,0,0
L,0.530,0.388,0.209,0.212,0.165,0,0,0
L,0.508,0.408,0.185,0.231,0.199,0,0,0
L,0.521,0.407,0.202,0.205,0.176,0,0,0
L,0.508,0.425,0.217,0.241,0.185,0,0,0
L,0.550,0.400,0.214,0.208,0.168,0,0,0
L,0.514,0.396,0.176,0.212,0.169,0,0,0
L,0.507,0.376,0.186,0.228,0.164,0,0,0
L,0.513,0.400,0.226,0.206,0.168,0,0,0
L,0.526,0.385,0.189,0.204,0.172,0,0,0
L,0.512,0.412,0.206,0.244,0.169,0,0,0
L,0.516,0.401,0.181,0.205,0.166,0,0,0
L,0.529,0.421,0.206,0.193,0.182,0,0,0
L,0.529,0.395,0.178,0.192,0.184,0,0,0
L,0.510,0.386,0.211,0.218,0.172,0,0,0
L,0.508,0.405,0.193,0.201,0.164,0,0,0
L,0.496,0.385,0.214,0.231,0.191,0,0,0
L,0.538,0.412,0.207,0.213,0.181,0,0,0
L,0.516,0.400,0.186,0.206,0.178,0,0,0
L,0.529,0.381,0.199,0.197,0.173,0,0,0
L,0.531,0.403,0.202,0.197,0.163,0,0,0
L,0.524,0.374,0.183,0.233,0.164,0,0,0
L,0.511,0.376,0.193,0.206,0.176,0,0,0
L,0.534,0.385,0.206,0.238,0.156,0,0,0
L,0.522,0.388,0.199,0.230,0.168,0,0,0
L,0.524,0.397,0.219,0.230,0.168,0,0,0
L,0.516,0.391,0.168,0.221,0.196,0,0,0
L,0.510,0.374,0.193,0.227,0.160,0,0,0
L,0.538,0.390,0.196,0.203,0.159,0,0,0
L,0.522,0.392,0.218,0.222,0.186,0,0,0
