Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
O,0.264,0.230,0.339,0.309,0.198,0,0,1
O,0.222,0.209,0.304,0.297,0.181,0,1,1
O,0.272,0.219,0.343,0.297,0.180,0,1,1
O,0.270,0.212,0.333,0.312,0.175,1,1,1
O,0.240,0.220,0.348,0.284,0.175,1,1,1
O,0.251,0.222,0.336,0.321,0.191,1,1,1
O,0.256,0.203,0.329,0.322,0.182,1,1,1
O,0.249,0.225,0.323,0.281,0.172,1,1,1
O,0.265,0.244,0.348,0.292,0.176,1,1,1
O,0.250,0.224,0.340,0.290,0.196,1,1,1
O,0.258,0.235,0.330,0.310,0.168,1,1,1
O,0.257,0.231,0.325,0.297,0.181,1,1,1
O,0.285,0.215,0.317,0.286,0.169,1,1,1
O,0.277,0.245,0.331,0.289,0.166,1,1,1
O,0.246,0.230,0.352,0.306,0.189,1,1,1
O,0.279,0.219,0.343,0.309,0.180,1,1,1
O,0.276,0.235,0.324,0.310,0.179,1,1,1
O,0.288,0.230,0.322,0.297,0.182,1,1,1
O,0.271,0.222,0.333,0.312,0.181,1,1,1
O,0.259,0.233,0.344,0.307,0.194,1,1,1
O,0.245,0.235,0.313,0.262,0.157,1,0,1
O,0.252,0.241,0.332,0.272,0.169,1,1,1
O,0.243,0.235,0.322,0.276,0.162,1,1,1
O,0.258,0.223,0.319,0.259,0.181,1,1,1
O,0.227,0.240,0.332,0.275,0.159,1,1,1
O,0.257,0.264,0.348,0.289,0.158,1,1,1
O,0.221,0.245,0.292,0.263,0.154,1,1,1
O,0.262,0.207,0.324,0.315,0.164,1,1,1
O,0.271,0.209,0.308,0.279,0.175,1,1,1
O,0.235,0.244,0.347,0.259,0.159,1,1,1
O,0.230,0.226,0.347,0.289,0.182,1,1,1
O,0.253,0.245,0.335,0.255,0.154,1,1,1
O,0.236,0.212,0.311,0.299,0.163,1,1,1
O,0.268,0.237,0.324,0.276,0.164,1,1,1
O,0.246,0.249,0.348,0.262,0.178,1,1,1
O,0.245,0.220,0.328,0.269,0.163,1,1,1
O,0.263,0.238,0.339,0.297,0.156,1,1,1
O,0.260,0.246,0.348,0.294,0.173,1,1,1
O,0.241,0.222,0.332,0.245,0.168,1,1,1
O,0.275,0.249,0.311,0.284,0.167,1,1,1
O,0.283,0.229,0.324,0.255,0.162,1,1,1
O,0.272,0.243,0.322,0.286,0.193,1,1,1
O,0.279,0.220,0.346,0.301,0.182,1,1,1
O,0.258,0.233,0.324,0.288,0.156,1,1,1
O,0.245,0.247,0.344,0.267,0.168,1,1,1
O,0.253,0.231,0.337,0.305,0.162,1,1,1
O,0.237,0.238,0.342,0.280,0.186,1,1,1
O,0.250,0.266,0.297,0.258,0.134,0,0,1
O,0.249,0.275,0.330,0.233,0.155,1,0,1
