Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
R,0.141,0.657,0.433,1.001,0.123,0,1,1
R,0.147,0.483,0.471,1.029,0.117,0,1,1
R,0.149,0.562,0.441,1.007,0.130,0,1,1
R,0.153,0.508,0.455,1.019,0.123,0,1,1
R,0.181,0.503,0.465,0.936,0.092,0,1,1
R,0.155,0.459,0.457,0.989,0.110,0,1,1
R,0.133,0.586,0.449,0.533,0.245,0,1,1
R,0.146,0.592,0.438,0.997,0.115,0,1,1
R,0.141,0.621,0.412,0.976,0.139,0,1,1
R,0.160,0.616,0.439,1.009,0.110,0,1,1
R,0.164,0.582,0.430,1.000,0.112,0,1,1
R,0.166,0.632,0.438,0.979,0.104,0,1,1
R,0.155,0.489,0.460,0.941,0.125,0,1,1
R,0.166,0.486,0.434,0.488,0.217,0,1,1
R,0.171,0.496,0.446,0.476,0.205,0,1,1
R,0.168,0.513,0.436,0.930,0.102,0,1,1
R,0.170,0.485,0.455,0.470,0.206,0,1,1
R,0.168,0.452,0.464,0.475,0.176,0,1,1
R,0.166,0.492,0.450,0.490,0.210,0,1,1
R,0.168,0.485,0.438,0.987,0.120,0,1,1
R,0.175,0.492,0.438,0.243,0.841,1,1,1
R,0.156,0.486,0.459,0.608,0.608,0,1,1
R,0.168,0.477,0.425,0.647,0.650,0,1,1
R,0.168,0.479,0.460,0.658,0.625,0,1,1
R,0.181,0.498,0.452,0.661,0.604,0,1,1
R,0.164,0.488,0.450,0.231,0.824,0,1,1
R,0.172,0.492,0.455,0.567,0.579,0,1,1
R,0.155,0.499,0.430,0.608,0.580,0,1,1
R,0.168,0.488,0.450,0.626,0.658,0,1,1
R,0.186,0.492,0.446,1.045,0.127,0,1,1
R,0.167,0.477,0.446,1.066,0.130,0,1,1
R,0.168,0.495,0.449,0.990,0.109,0,1,1
R,0.168,0.488,0.439,0.990,0.116,0,1,1
R,0.182,0.485,0.449,0.963,0.117,0,1,1
R,0.170,0.517,0.457,0.516,0.230,0,1,1
R,0.168,0.483,0.450,0.501,0.224,0,1,1
R,0.170,0.491,0.441,0.494,0.230,0,1,1
R,0.169,0.502,0.464,0.504,0.223,0,1,1
R,0.170,0.481,0.437,0.473,0.207,0,1,1
R,0.168,0.477,0.435,0.486,0.214,0,1,1
R,0.168,0.477,0.435,0.486,0.214,0,1,1
R,0.189,0.556,0.463,0.284,0.269,0,1,1
R,0.168,0.554,0.433,0.412,0.442,0,1,1
R,0.146,0.542,0.422,0.408,0.388,0,1,1
R,0.171,0.492,0.412,0.270,0.646,0,1,1
R,0.173,0.484,0.404,0.566,0.170,0,1,1
R,0.168,0.515,0.412,0.555,0.178,0,1,1
R,0.163,0.531,0.396,0.544,0.168,0,1,1
R,0.202,0.608,0.412,0.214,0.618,0,1,1
