Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
S,0.118,0.172,0.153,0.150,0.103,1,1,1
S,0.151,0.163,0.168,0.159,0.122,1,1,1
S,0.138,0.187,0.168,0.156,0.096,1,1,1
S,0.135,0.129,0.158,0.144,0.111,1,1,1
S,0.118,0.197,0.172,0.147,0.116,1,0,1
S,0.172,0.168,0.159,0.151,0.121,1,0,1
S,0.168,0.185,0.170,0.165,0.103,1,0,1
S,0.139,0.199,0.168,0.158,0.123,1,0,1
S,0.168,0.183,0.164,0.146,0.117,1,1,1
S,0.157,0.168,0.168,0.160,0.114,1,1,1
S,0.137,0.146,0.181,0.142,0.093,1,1,1
S,0.142,0.172,0.157,0.178,0.110,1,0,1
S,0.162,0.165,0.173,0.156,0.129,1,0,1
S,0.131,0.156,0.168,0.155,0.103,1,1,1
S,0.155,0.155,0.139,0.181,0.131,1,1,1
S,0.150,0.179,0.172,0.168,0.089,1,1,1
S,0.146,0.195,0.168,0.143,0.118,1,0,1
S,0.142,0.180,0.158,0.162,0.104,1,0,1
S,0.161,0.192,0.150,0.168,0.120,1,0,1
S,0.176,0.189,0.184,0.186,0.106,1,0,1
S,0.165,0.194,0.170,0.193,0.126,1,0,1
S,0.165,0.206,0.145,0.168,0.104,1,0,1
S,0.142,0.181,0.186,0.189,0.115,1,0,1
S,0.142,0.204,0.193,0.166,0.116,1,0,1
S,0.142,0.219,0.156,0.186,0.116,1,1,1
S,0.163,0.219,0.142,0.176,0.113,1,1,1
S,0.163,0.206,0.181,0.176,0.116,1,1,1
S,0.180,0.178,0.177,0.191,0.095,1,1,1
S,0.145,0.182,0.182,0.154,0.103,1,1,1
S,0.179,0.214,0.149,0.188,0.114,1,1,1
S,0.139,0.226,0.156,0.175,0.089,1,1,1
S,0.159,0.193,0.163,0.169,0.102,1,1,1
S,0.151,0.164,0.159,0.168,0.103,1,1,1
S,0.172,0.223,0.193,0.168,0.095,1,1,1
S,0.152,0.232,0.141,0.182,0.106,1,1,1
S,0.152,0.235,0.157,0.155,0.106,1,1,1
S,0.147,0.196,0.190,0.159,0.119,1,1,1
S,0.147,0.191,0.160,0.186,0.094,1,1,1
S,0.172,0.185,0.152,0.165,0.116,1,1,1
S,0.154,0.193,0.152,0.186,0.116,1,1,1
S,0.157,0.206,0.170,0.178,0.098,1,1,1
S,0.168,0.227,0.191,0.180,0.130,1,1,1
S,0.189,0.236,0.170,0.172,0.103,1,1,1
S,0.165,0.275,0.191,0.180,0.121,1,1,1
S,0.160,0.171,0.160,0.168,0.137,1,1,1
S,0.177,0.230,0.154,0.150,0.122,1,1,1
S,0.168,0.219,0.183,0.152,0.106,1,1,1
S,0.156,0.232,0.197,0.169,0.123,1,1,1
S,0.190,0.202,0.172,0.167,0.103,1,1,1
