Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
U,0.143,0.318,0.589,0.616,0.592,0,0,0
U,0.168,0.321,0.605,0.908,0.054,0,0,0
U,0.176,0.317,0.594,0.995,0.064,1,0,0
U,0.172,0.323,0.604,0.993,0.081,1,1,0
U,0.164,0.333,0.597,0.994,0.073,1,1,0
U,0.168,0.339,0.606,0.994,0.083,1,1,0
U,0.164,0.334,0.600,1.003,0.083,1,1,0
U,0.172,0.333,0.602,0.998,0.074,1,1,0
U,0.173,0.310,0.628,1.000,0.086,1,1,0
U,0.193,0.338,0.596,0.995,0.077,1,1,0
U,0.168,0.325,0.616,1.002,0.064,1,1,0
U,0.179,0.335,0.606,1.005,0.084,1,1,0
U,0.183,0.341,0.616,0.997,0.085,1,1,0
U,0.176,0.321,0.604,1.016,0.085,1,1,0
U,0.176,0.340,0.616,1.011,0.080,0,0,0
U,0.154,0.342,0.604,1.015,0.058,1,1,0
U,0.183,0.327,0.606,1.011,0.077,1,1,0
U,0.182,0.333,0.607,1.002,0.085,0,0,0
U,0.172,0.347,0.599,1.020,0.069,1,1,0
U,0.189,0.305,0.613,1.007,0.077,1,1,0
U,0.168,0.324,0.605,1.007,0.069,1,1,0
U,0.170,0.308,0.616,0.995,0.083,1,1,0
U,0.168,0.332,0.594,1.019,0.082,1,1,0
U,0.183,0.306,0.604,0.995,0.076,1,1,0
U,0.179,0.315,0.604,1.001,0.075,1,1,0
U,0.173,0.317,0.615,0.995,0.068,1,1,0
U,0.175,0.312,0.592,1.007,0.073,1,1,0
U,0.164,0.331,0.599,1.010,0.068,1,1,0
U,0.184,0.348,0.602,1.016,0.063,1,1,0
U,0.168,0.334,0.604,1.001,0.078,1,1,0
U,0.159,0.331,0.607,1.008,0.070,1,1,0
U,0.168,0.323,0.614,1.001,0.078,1,1,0
U,0.173,0.309,0.618,1.010,0.092,1,1,0
U,0.189,0.322,0.606,1.003,0.070,1,1,0
U,0.188,0.341,0.613,1.004,0.075,1,1,0
U,0.168,0.312,0.614,1.006,0.064,1,1,0
U,0.179,0.312,0.598,0.994,0.064,1,1,0
U,0.176,0.320,0.608,1.003,0.064,1,1,0
U,0.163,0.340,0.610,1.004,0.085,1,1,0
U,0.181,0.326,0.596,1.002,0.064,1,1,0
U,0.182,0.327,0.599,1.002,0.077,1,1,0
U,0.168,0.348,0.621,0.998,0.077,1,1,0
U,0.170,0.333,0.604,1.005,0.064,1,1,0
U,0.182,0.328,0.596,1.004,0.064,1,1,0
U,0.167,0.314,0.604,1.007,0.068,1,1,0
U,0.164,0.309,0.592,0.993,0.075,1,1,0
U,0.189,0.330,0.607,1.004,0.083,1,1,0
U,0.167,0.322,0.611,0.996,0.057,1,1,0
U,0.183,0.322,0.621,0.997,0.079,1,1,0
U,0.172,0.324,0.602,1.001,0.076,1,1,0
U,0.176,0.331,0.616,0.999,0.073,1,1,0
U,0.168,0.322,0.607,0.995,0.065,1,1,0
U,0.165,0.323,0.611,0.998,0.062,1,1,0
U,0.168,0.324,0.610,0.997,0.072,1,1,0
U,0.186,0.326,0.606,0.986,0.076,1,1,0
U,0.176,0.321,0.605,1.003,0.068,1,1,0
U,0.176,0.320,0.602,1.003,0.081,1,1,0
U,0.176,0.325,0.608,0.998,0.085,1,1,0
U,0.168,0.333,0.606,0.991,0.085,1,1,0
U,0.181,0.328,0.590,0.994,0.064,1,1,0
U,0.177,0.319,0.605,0.998,0.074,1,1,0
U,0.169,0.322,0.621,0.995,0.063,1,1,0
U,0.179,0.327,0.611,1.003,0.085,1,1,0
U,0.163,0.315,0.606,1.006,0.066,1,1,0
U,0.177,0.322,0.598,0.993,0.066,1,1,0
U,0.189,0.334,0.604,0.993,0.069,1,1,0
U,0.170,0.317,0.620,0.993,0.070,1,1,0
U,0.181,0.334,0.617,0.991,0.064,1,1,0
