Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
W,0.157,0.370,0.467,0.395,0.120,0,0,1
W,0.156,0.373,0.499,0.401,0.201,0,0,1
W,0.116,0.400,0.491,0.452,0.142,0,0,1
W,0.092,0.352,0.516,0.384,0.162,0,0,1
W,0.116,0.368,0.464,0.398,0.176,0,0,1
W,0.162,0.378,0.477,0.431,0.118,0,0,1
W,0.130,0.365,0.516,0.460,0.164,0,0,1
W,0.116,0.368,0.474,0.451,0.180,0,0,1
W,0.142,0.384,0.510,0.477,0.160,0,0,1
W,0.146,0.402,0.503,0.437,0.159,0,0,1
W,0.160,0.368,0.508,0.475,0.147,0,0,1
W,0.111,0.400,0.508,0.446,0.172,0,0,1
W,0.143,0.401,0.516,0.482,0.176,0,0,1
W,0.123,0.400,0.465,0.475,0.156,0,0,1
W,0.103,0.348,0.503,0.443,0.114,0,0,1
W,0.173,0.349,0.525,0.461,0.127,0,0,1
W,0.130,0.389,0.471,0.467,0.146,0,0,1
W,0.163,0.402,0.479,0.447,0.123,0,0,1
W,0.124,0.375,0.464,0.426,0.128,0,0,1
W,0.142,0.400,0.485,0.430,0.113,0,0,1
W,0.108,0.354,0.529,0.441,0.091,0,0,1
W,0.124,0.374,0.500,0.470,0.142,0,0,1
W,0.143,0.367,0.518,0.396,0.142,0,0,1
W,0.131,0.412,0.508,0.391,0.099,0,0,1
W,0.127,0.396,0.500,0.436,0.118,0,0,1
W,0.127,0.392,0.531,0.423,0.171,1,0,1
W,0.138,0.389,0.515,0.451,0.201,1,0,1
W,0.168,0.412,0.517,0.459,0.147,0,0,1
W,0.160,0.359,0.470,0.444,0.143,0,0,1
W,0.122,0.380,0.517,0.426,0.172,0,0,1
W,0.128,0.374,0.488,0.440,0.148,0,0,1
W,0.136,0.387,0.472,0.405,0.116,0,0,1
W,0.137,0.374,0.482,0.464,0.133,0,0,1
W,0.147,0.353,0.506,0.465,0.129,0,0,1
W,0.162,0.400,0.477,0.412,0.131,0,0,1
W,0.144,0.363,0.521,0.434,0.161,0,0,1
W,0.129,0.385,0.477,0.452,0.131,0,0,1
W,0.164,0.399,0.477,0.463,0.116,0,0,1
W,0.174,0.361,0.513,0.450,0.125,0,0,1
W,0.131,0.395,0.485,0.456,0.149,0,0,1
W,0.163,0.396,0.523,0.459,0.167,0,0,1
W,0.142,0.388,0.488,0.428,0.144,0,0,1
W,0.147,0.354,0.517,0.428,0.178,0,0,1
W,0.155,0.392,0.530,0.438,0.140,0,0,1
W,0.137,0.405,0.539,0.478,0.076,0,0,1
W,0.116,0.383,0.478,0.476,0.120,0,0,1
W,0.135,0.377,0.503,0.433,0.160,0,0,1
W,0.160,0.400,0.506,0.439,0.163,0,0,1
W,0.143,0.388,0.506,0.469,0.113,0,0,1
