Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
X,0.145,0.184,0.367,0.402,0.116,0,0,1
X,0.189,0.210,0.361,0.392,0.118,0,0,1
X,0.156,0.190,0.361,0.389,0.121,0,0,1
X,0.164,0.201,0.374,0.376,0.127,0,0,1
X,0.182,0.193,0.372,0.410,0.135,0,0,1
X,0.180,0.211,0.371,0.400,0.117,0,0,1
X,0.179,0.185,0.390,0.396,0.137,0,0,1
X,0.181,0.205,0.393,0.405,0.126,0,0,1
X,0.188,0.205,0.388,0.392,0.139,0,0,1
X,0.193,0.173,0.388,0.412,0.127,0,0,1
X,0.167,0.199,0.384,0.380,0.127,0,0,1
X,0.169,0.201,0.373,0.391,0.126,0,0,1
X,0.185,0.186,0.380,0.405,0.118,0,0,1
X,0.181,0.192,0.387,0.405,0.119,0,0,1
X,0.193,0.199,0.397,0.396,0.136,0,0,1
X,0.178,0.198,0.380,0.383,0.135,0,0,1
X,0.189,0.185,0.385,0.381,0.117,0,0,1
X,0.168,0.193,0.374,0.400,0.142,0,0,1
X,0.176,0.190,0.383,0.403,0.117,0,0,1
X,0.193,0.191,0.372,0.391,0.116,0,0,1
X,0.183,0.209,0.375,0.406,0.127,0,0,1
X,0.189,0.212,0.382,0.400,0.135,0,0,1
X,0.172,0.189,0.380,0.400,0.118,0,0,1
X,0.191,0.178,0.373,0.391,0.122,0,0,1
X,0.171,0.186,0.388,0.388,0.134,0,0,1
X,0.175,0.187,0.370,0.436,0.118,0,0,1
X,0.181,0.188,0.381,0.400,0.117,0,0,1
X,0.175,0.195,0.385,0.405,0.121,0,0,1
X,0.170,0.196,0.389,0.405,0.117,0,0,1
X,0.169,0.209,0.396,0.384,0.116,0,0,1
X,0.187,0.193,0.383,0.421,0.125,0,0,1
X,0.168,0.201,0.374,0.372,0.118,0,0,1
X,0.176,0.189,0.389,0.421,0.120,0,0,1
X,0.193,0.201,0.382,0.389,0.133,0,0,1
X,0.184,0.197,0.386,0.388,0.119,0,0,1
X,0.180,0.195,0.386,0.386,0.128,0,0,1
X,0.173,0.189,0.392,0.386,0.120,0,0,1
X,0.179,0.196,0.399,0.388,0.129,0,0,1
X,0.176,0.191,0.383,0.402,0.122,0,0,1
X,0.162,0.198,0.400,0.412,0.128,0,0,1
X,0.156,0.183,0.380,0.389,0.116,0,0,1
X,0.180,0.193,0.401,0.431,0.130,0,0,1
X,0.167,0.205,0.395,0.386,0.131,0,0,1
X,0.168,0.195,0.389,0.402,0.130,0,0,1
X,0.168,0.188,0.374,0.392,0.123,0,0,1
X,0.182,0.199,0.389,0.395,0.133,0,0,1
X,0.170,0.205,0.375,0.376,0.138,0,0,1
X,0.151,0.202,0.388,0.388,0.117,0,0,1
X,0.159,0.198,0.392,0.398,0.116,0,0,1
X,0.180,0.206,0.389,0.424,0.124,0,0,1
X,0.164,0.204,0.378,0.423,0.127,0,0,1
X,0.177,0.198,0.399,0.386,0.113,0,0,1
X,0.185,0.209,0.389,0.412,0.131,0,0,1
X,0.191,0.204,0.398,0.395,0.131,0,0,1
X,0.163,0.217,0.386,0.400,0.130,0,0,1
X,0.172,0.187,0.386,0.425,0.128,0,0,1
X,0.164,0.229,0.388,0.395,0.135,0,0,1
X,0.181,0.209,0.382,0.412,0.129,0,0,1
X,0.185,0.197,0.381,0.396,0.127,0,0,1
X,0.171,0.206,0.387,0.400,0.133,0,0,1
X,0.168,0.206,0.400,0.407,0.124,0,0,1
X,0.179,0.217,0.396,0.394,0.124,0,0,1
X,0.185,0.222,0.385,0.425,0.116,0,0,1
X,0.178,0.219,0.407,0.410,0.143,0,0,1
X,0.176,0.211,0.378,0.405,0.122,0,0,1
X,0.182,0.227,0.396,0.396,0.128,0,0,1
X,0.190,0.210,0.376,0.412,0.137,0,0,1
X,0.170,0.214,0.382,0.427,0.135,0,0,1
X,0.182,0.222,0.378,0.425,0.138,0,0,1
X,0.176,0.205,0.389,0.401,0.138,0,0,1
X,0.189,0.214,0.397,0.404,0.121,0,0,1
X,0.195,0.214,0.379,0.412,0.138,0,0,1
X,0.199,0.215,0.395,0.412,0.132,0,0,1
X,0.183,0.228,0.392,0.400,0.130,0,0,1
X,0.172,0.219,0.392,0.412,0.143,0,0,1
X,0.188,0.204,0.381,0.397,0.125,0,0,1
X,0.181,0.208,0.386,0.400,0.119,0,0,1
X,0.196,0.209,0.384,0.411,0.118,0,0,1
X,0.183,0.219,0.390,0.423,0.118,0,0,1
X,0.193,0.223,0.388,0.409,0.140,0,0,1
X,0.186,0.219,0.392,0.409,0.143,0,0,1
X,0.188,0.235,0.384,0.412,0.134,0,0,1
X,0.178,0.210,0.374,0.392,0.139,0,0,1
X,0.185,0.221,0.386,0.412,0.124,0,0,1
X,0.177,0.204,0.383,0.412,0.130,0,0,1
X,0.175,0.209,0.393,0.412,0.118,0,0,1
X,0.183,0.207,0.400,0.399,0.121,0,0,1
X,0.182,0.213,0.398,0.405,0.131,0,0,1
X,0.179,0.216,0.391,0.425,0.123,0,0,1
X,0.185,0.231,0.379,0.388,0.118,0,0,1
X,0.181,0.220,0.403,0.431,0.131,0,0,1
X,0.189,0.207,0.392,0.442,0.131,0,0,1
X,0.193,0.234,0.384,0.405,0.129,0,0,1
X,0.173,0.230,0.386,0.412,0.135,0,0,1
X,0.186,0.227,0.392,0.404,0.120,0,0,1
X,0.177,0.237,0.404,0.439,0.131,0,0,1
X,0.170,0.228,0.392,0.440,0.125,0,0,1
X,0.157,0.218,0.387,0.435,0.131,0,0,1
X,0.199,0.219,0.405,0.425,0.128,0,0,1
X,0.183,0.217,0.404,0.412,0.128,0,0,1
X,0.185,0.193,0.400,0.391,0.136,0,0,1
X,0.182,0.228,0.408,0.454,0.127,0,0,1
X,0.171,0.223,0.412,0.409,0.125,0,0,1
X,0.183,0.218,0.400,0.452,0.120,0,0,1
X,0.181,0.223,0.397,0.421,0.138,0,0,1
X,0.193,0.246,0.424,0.412,0.127,0,0,1
X,0.184,0.185,0.405,0.431,0.136,0,0,1
X,0.185,0.218,0.421,0.448,0.130,0,0,1
X,0.183,0.259,0.421,0.412,0.127,0,0,1
X,0.196,0.218,0.396,0.426,0.116,0,0,1
X,0.196,0.215,0.404,0.430,0.122,0,0,1
X,0.201,0.222,0.405,0.439,0.124,0,0,1
X,0.193,0.226,0.392,0.442,0.127,0,0,1
X,0.205,0.218,0.402,0.449,0.116,0,0,1
X,0.191,0.237,0.400,0.452,0.118,0,0,1
