Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
Y,0.455,0.193,0.279,0.376,0.176,1,0,0
Y,0.448,0.177,0.278,0.370,0.181,1,0,0
Y,0.444,0.188,0.276,0.374,0.173,1,0,0
Y,0.439,0.197,0.272,0.374,0.193,1,0,0
Y,0.456,0.197,0.272,0.369,0.175,1,0,0
Y,0.450,0.181,0.276,0.372,0.175,1,0,0
Y,0.450,0.197,0.284,0.383,0.189,1,0,0
Y,0.444,0.183,0.280,0.370,0.181,1,0,0
Y,0.438,0.183,0.281,0.367,0.182,1,0,0
Y,0.451,0.193,0.295,0.376,0.193,1,0,0
Y,0.447,0.186,0.286,0.374,0.177,1,0,0
Y,0.447,0.189,0.267,0.374,0.164,1,0,0
Y,0.454,0.146,0.232,0.302,0.147,1,0,0
Y,0.429,0.168,0.206,0.296,0.140,1,0,0
Y,0.431,0.175,0.243,0.311,0.164,1,0,0
Y,0.437,0.159,0.238,0.302,0.160,1,0,0
Y,0.459,0.160,0.247,0.293,0.176,1,0,0
Y,0.429,0.168,0.231,0.307,0.152,1,0,0
Y,0.430,0.167,0.249,0.309,0.178,1,0,0
Y,0.399,0.182,0.286,0.250,0.163,1,0,0
Y,0.400,0.155,0.301,0.241,0.163,1,0,0
Y,0.394,0.197,0.288,0.251,0.168,1,0,0
Y,0.395,0.186,0.271,0.253,0.168,1,0,0
Y,0.400,0.184,0.284,0.231,0.156,1,0,0
Y,0.384,0.180,0.281,0.257,0.167,1,0,0
Y,0.378,0.206,0.272,0.252,0.160,1,0,0
Y,0.382,0.159,0.286,0.259,0.155,1,0,0
Y,0.375,0.174,0.282,0.243,0.164,1,0,0
Y,0.380,0.176,0.289,0.260,0.168,1,0,0
Y,0.400,0.175,0.258,0.293,0.165,1,0,0
Y,0.392,0.198,0.258,0.272,0.173,1,0,0
Y,0.396,0.199,0.243,0.272,0.157,1,0,0
Y,0.378,0.202,0.264,0.256,0.163,1,0,0
Y,0.387,0.167,0.271,0.271,0.159,1,0,0
Y,0.398,0.193,0.248,0.267,0.170,1,0,0
Y,0.400,0.180,0.256,0.273,0.155,1,0,0
Y,0.423,0.197,0.256,0.259,0.153,1,0,0
Y,0.377,0.181,0.264,0.272,0.155,0,0,0
Y,0.409,0.193,0.252,0.273,0.153,1,0,0
Y,0.380,0.193,0.272,0.258,0.163,1,0,0
Y,0.399,0.176,0.252,0.268,0.162,1,0,0
Y,0.375,0.183,0.259,0.272,0.162,1,0,0
Y,0.372,0.185,0.265,0.283,0.164,1,0,0
Y,0.382,0.193,0.259,0.257,0.172,1,0,0
Y,0.398,0.188,0.268,0.274,0.168,1,0,0
Y,0.386,0.193,0.269,0.258,0.181,1,0,0
Y,0.385,0.190,0.260,0.265,0.170,1,0,0
Y,0.386,0.196,0.263,0.272,0.155,1,0,0
Y,0.392,0.185,0.247,0.256,0.156,1,0,0
Y,0.390,0.201,0.263,0.266,0.166,1,0,0
Y,0.396,0.180,0.256,0.253,0.144,1,0,0
Y,0.376,0.193,0.268,0.265,0.164,1,0,0
Y,0.375,0.176,0.261,0.265,0.155,1,0,0
Y,0.372,0.195,0.252,0.253,0.164,1,0,0
Y,0.389,0.194,0.289,0.268,0.168,1,0,0
Y,0.395,0.199,0.271,0.258,0.166,1,0,0
Y,0.375,0.189,0.273,0.270,0.163,1,0,0
Y,0.386,0.188,0.259,0.268,0.160,1,0,0
Y,0.382,0.184,0.254,0.269,0.171,1,0,0
Y,0.381,0.188,0.275,0.258,0.167,1,0,0
Y,0.392,0.197,0.259,0.266,0.150,1,0,0
Y,0.363,0.186,0.280,0.258,0.156,1,0,0
Y,0.386,0.197,0.276,0.271,0.153,1,0,0
Y,0.383,0.193,0.278,0.276,0.155,1,0,0
Y,0.399,0.194,0.262,0.281,0.157,1,0,0
Y,0.392,0.199,0.281,0.271,0.170,1,0,0
